content,sentiment
Before the focus say they have favorable view of Trump After only saw him positively,1
@ Just make my first donation to So impress by her performance,1
If we want to stop send foreign aid to place that burn our flag can we start with,0
The Rand eye roll to at the,2
Scrap the deal cant get a nuke,2
Trying to decide if its too early to come back to Twitter Was wait closer to election but the may have me hook,2
campaign reveal important thing Twitter be real people And they vote That should scare eve,1
Those say dont worry Trump will NEVER be elect need to remember we elect Bush Twice,0
Fox News Had Its Own Agenda Promote never mention fire from run Trump out of race,0
Oh one more thing Did anyone hear anything about affordable child care for work last night in the I,0
Dear,0
Bill and be the A Team in the first debate debate be an ambush,1
The go to hell and Kelly on be attack Trump for a war on,0
Graham st Encouraging to see several express their faith in God and His Son,1
say not politically correct Which of course be for face it huge,0
A message to the,0
This be the worst episode of The Apprentice that ever see,0
As the line go up they almost reach It almost never happen in the dial research we do,2
The purpose of the military be to kill people and break something an actual man run for president just say,0
Wondering if I could get the Republican Party to pay for my liver transplant after play drink game last night,0
Great way to start,1
If elect on my first day as President Ill rescind every illegal and unconstitutional executive order enact by,1
Trump during be like,2
Was upstairs put the to bed How many question about climate change do I miss,2
Theyre all Akin now How the Parenthood sting backfire on,0
Hey let digest before allow crazy to TRASH OUR,0
Watch Trump Receive Enormous Applause for Horribly Misogynistic Answer,0
A few of my favorite to the last night,2
Even though a super conservative reporter I actually like interview style she do great at the,1
The be not a debate at all Its a series of minute to avoid answer a question one candidate,0
Credit for this joke go to someone else but it be funny,1
Simply incredible Last nights double the previous record for primary debate i,1
This literally be more true for me I Watched the All I Got Was a Lousy,0
dreamer a little from this morning towards,0
Dear,2
What people saw in person what we saw on,0
Marco Told To His Face Candidate Of Yesterday For His Bigotry,0
None of them have make Trump look out of place or foolish yet Think about that When do cry think about it,0
Maybe the just get confuse with She think I steal,2
Had a great time watch the last night,1
Trump say that he doesnt have time for political correctness How do call fat pig save him,0
This be the we have now One of the people on now might be the next one RIP everything,0
I think be catch by surprise by that first question and be never able to recover his equilibrium,2
web stream and mobile fail during Why be I not surprise,0
help create new job He can do it for,1
Please help the replace in their convent,1
At I win over our audience yet Can you chip in to help us keep it up,2
Trump just say be a true gentleman then they start violently ing,0
Ugh will these guy ever shut up about how much they respect,0
What do the teach us about a future President Trump probably wont be safe except if be attack,0
This be go to be a long tire election season shockingly at,0
God have bless the Republican party with many great cant even find one,2
The miracle can happen to you Grow opportunity and grow job,2
Walker cant even carry his own state,0
Black people if you need indication why hate us Peep this,0
Sure God tell me I should run and the Tooth Fairy agree and all the vote yes so here I be,0
Trump should have tell Kelly to go to HELL,0
Caller on the Rush have lose all respect for Fox News,0
s behaviour at the be astonishingly bias,0
Debate Economics Bush,1
Huh Half of charity go,0
The order be to take out Trump but I wonder if FOX News be the one who take the order seriously,0
watch the last night,2
We all owe a huge thank you expose to the world be true,0
Walker WI Budget Surplus Actually B Deficit,0
right Last I hear be that only could give birth to s child that change,1
Have any of you receive a word from God = Are any of you crazy,2
Fox News interviewer to Whats your take on these talk point feed you,0
But the murder of black be just fine just not unborn black baby,0
Missing already H,2
be really stand out at the,1
Hey You know who didnt whine about unfair question Grow a set why dont ya,1
You cant be AND have watch that hour abortion last night,0
You fail the people tonight You try to make history by destroy,0
when you mix politics and religion you get politics,0
Marco nail it on abortion We must protect life,1
be up with attack on bankruptcy then give a softball,0
They obviously didnt get the memo about,0
Honestly Trump you be ALL type of petty at last nights,0
All Republican who say theyll take US back to on Day One will never see one day in White House,0
Trump gloat buy them do his bid IS my s Billionaire caricature,0
Go Go Go,1
Listening to the like,0
Best moment of the last night Rand tell to go get another hug from,1
If you miss either all you need to know be theres no $ for struggle and unlimited $ for war,0
We be on the verge of the time to be alive in this world but be hold us back,0
Drudge Debate Poll By A Landslide,0
fight back against what will you do immigration Q border be porous and that must be fix first,1
Summary be the Status quo show,0
Tweeter Who Debate Schedule,0
Hey look its men stand on a stage argue why they should get to control body and,0
Budget T Deficit To,2
Last night at the all I saw be a bunch of Rich and Old with ZERO to our,0
Debate over We learn nothing new,2
If you think ANY of these people be me,0
Ben speak about science at the and be like,2
the real illegal alien on Immigration the Bor via,0
The talk head put on the debate now the talk head be tell us how the debate go Maybe we waste our time watch,0
Plaza Casino Plush in,2
be right about but really need to study verse,1
It wasnt all The most memorable right now on,2
in one picture,2
Where do you think should sleep when they have The Curse The shed Or in an open field not on your property,0
I think a pretty fair guy Ben neurosurgeon on his belief modern day taxation should be base on an ancient book,0
The cheer from audience defiantly name as the woman he call Fat Pig be the voice,0
dont matter apparently to Republican for president or to,0
Overall the main thing we learn from the be that only straight white men matter,0
I think have the best post interview of the night give them all a chance straighten their position,1
Hey if still look to chip in check out,0
be criticize UR during U do a REALLY bad job as,0
As the line go up they almost reach It almost never happen in the dial research we do rig,0
I wish we could teach teenage to love themselves as much as Trump love himself,0
be a people without a Network,0
How come theres no talk about climate change anyone here even see right now,0
Performance,2
Last night they could have have raise their hand a spoil billionaire an oligarch a racist a,0
WOW Brilliant Cool Calm Collected,1
Ted doesnt appreciate your emphatically sarcastic air quote kelly,2
Under no should men dictate abortion right to Its the st Century we be better than that,0
Winner Drudge K TIME K,1
In you chide for go from objective moderator to active participant,0
in you call a two time slut Do you stand by that statement,0
never watch again question to Making it about rat not,0
All be completely forgettable,1
SMALLER government payroll be smaller than its be in,1
Twitter to Drag,2
the and beat them be the way to go,0
Thank you all for watch the tonight and I have a blast write it,2
The REAL war on,0
s On Fire Debate Performance,2
be like,2
on Border Immigration,2
This Trump Fox News conflict be quite the conundrum Its like the personification of Greed Hate Who do I root,0
I know how extraordinary this nation be,1
Meanwhile in the White House,0
still my preference but i can see point of his over opportunism inconsistency,1
Did ever tell to go wait in the car Her bad attitude suggest it,1
He be on fire s On Fire Debate Performance,1
Dad Settling in for the,2
get a lot of tonight She be totally overrate and angry She,0
This literally be more true for me I Watched the All I Got Was a Lousy,0
be half as long as the but twice as intelligible,0
Not a single question in last nights about the most urgent issue of our time climate change,0
What be up with their question They seem design to elicit typical political spin,0
After the all of the promise be make by at this tech conference seem quite reasonable,1
AMEN,0
The highest call of leadership be to challenge the status quo unlock potential in,2
Me watch the Trump pass,0
Before the begin didnt the say that million be discuss racial issue What happen to,0
Theres nothing like listen to ten who will never need an abortion talk about whether I should have a right,0
FOX silence by too Not a single question at last nights to about,0
These be rich they dont care about the poverty of they definitely dont care bout the poverty of,0
So we just have an office chat about the I be out as both a flame liberal and a politics geek Probably not surprise,2
Catching up on my what a childish cheap move to call out on a year old story,0
The only thing that make last nights more amuse would have be,2
All Ted do be attack other,0
Not just no but hell no to the,0
Hard to say who win the or,2
If Trump win the election then well know be on the,0
Can you chip in to keep the momentum go,2
just say you have to work two more before that get of less you pay,0
be ready to lead Join the team,1
The biggest in the debate be the Fox who attack instead of moderate,0
Trump have yet to give a single answer to a direct question about policy That should frighten you,0
On my way to the studio about to appear on to discuss last nights Tune in,2
I honestly think sometimes these guy forget they come from too,0
who shame other for have deserve to be sham for have no soul or self respect,0
Me watch the Me look directly into the camera like on The Office,2
close statement be every dinner conversation have at The ever,0
When the rich wage war its the poor who die This be now foreign policy,0
At the we saw the completely miss the mark on race,0
SO to the for be of defeat union even though they just want higher wag,0
better not leave his prayer rug behind in the Oval Office when I get elect because Ill throw it out,2
You get that right,0
Trump just say the US be stupid so let vote him President people,0
So excite for be wait for,1
Rep be major Democrat to announce opposition to deal during follow opposition,2
Hey look its my feel about Trump sum up in one gif,0
Are any of these for the legalization of marijuana or what,2
What I learn from the Some guy dad be a mailman be run mate The have run,2
Marco Briefly Backed Immigration Reform Then Privately,0
I Every candidate,0
just be honest u be talk about coz steal ur,0
When and the new York time praise fox then you know the up,0
Trump be a lunatic,0
have class truth that get my vote,1
the only reason anyone be even talk about illegal immigration Keep dig,0
Finally Somebody who make some sense,1
Pope would not vote for any of these guy,0
All want to reduce tax while want to legalize prostitution and drug so we can tax it,0
Hi Fox panel can you just ask every single question Hand him a shovel while at it so he can keep dig,0
And then be all,2
be Breaking So what not a polish Politician me love him even more,1
Oh It be just a movie trailer,0
So Sally both praise Kelly tonight That should tell you everything you need,0
Why be all the Trump accessory wear the same shoe,0
line come People be frustrate theyre feed up they dont think the work for them,2
And Trump be an absolute nut So entertain,0
Top pick their News,0
go after time in the but remain silent about the issue that affect us,0
try show up w Trying take him down Trying destroy him Not happen,0
moment for say he wouldnt publicize to the world his answer on,0
I give him a e for his big ego As be earn for excellence with rump,0
Passion of the,1
get the best review and deserve them Read more of our recap of the,1
Cant wait to see which they kill off in the next episode of,2
Brutal question to the from Kelly The lesson here be careful what you tweet on Twitter,1
watch this,2
Trump change his mind on support PARTIAL BIRTH ABORTION because a friend change their mind on abort have a great,0
Best close statement,1
We have to stop worry about be love start worry about be respect,1
Trump want to know what s hide agenda be last night Answer be simple its call a,0
The Real Winner Republican Fox Nation,2
Trump be a really nasty piece of work Hope he disappear quickly,0
ARE NOT UNBORN THEY ARE OF STOP PEOPLE WHO HAD,0
These be far and away the best tweet of last night,1
I know now who it be that remind me of actor,2
Despite what say I always make sure my prostitute AND her pimp pay and pension,0
be watch the like,2
do great by challenge the in If these cant handle a tough question they could never b,1
Id say it be the opposite Kelly act like some on whine about feminism Very sad,0
Rightly so Frank Rightly so,1
the number of time that be mention in the be TOO DAMN HIGH,0
If Trump be against culture suddenly for it Not even What a howl of a human,0
great close He operate on brain so he doesnt worry about skin color,1
R that would be offend by Misogyny most certainly dont vote Republican Find a new fake issue News,0
Keep religion out of politics,0
I wont be buy I wont be sell after reiterate his point against during,2
Boy I bet the mood in the clown car be go to be TENSE when these jerk leave the,0
Ben do a great job tonight your close statement,1
Meet the new darling of the leave Kelly,2
Behind the Fox debate How the anchor hash out the question They,0
Did anyone get trash play s drink game,0
If donate to can call in a favor later like NOT Thats legal,0
Ugh to think there be actually people sit on their couch last night say YES YES THIS IS REASONABLE,0
Dear,2
If politics can be even partially rational campaign for the nomination just end,0
s from last night Doesnt Deserve Ben,2
Walker choose kill mother rather than abort unborn embryo This be reason other give us that funny,0
Cant Abortion be a talk point in the since,0
reminisce about an that no longer exist after Ted Immigration and Nationality Act,0
Cant make this up stop at a ice cream shop before the,2
Ted be go to personally take away your telescope and try you as a witch,0
You kill it last night at the glad to have some that care for,1
When the be more excite than anything else on in the past,1
its tough to say who be make me more horny,1
ask poor question why be this to help Bush in the poll,2
The be better than I think be though fin issue with sound,1
Yes Marco Actually Said The Invasion Was Not A Mistake,0
Marco Against Unemployment Even Though Needs Them Most,0
be so thoughtful in,1
There will be a lot of job available if Bush serve term because most will have commit suicide,0
Huh Watching debate and so far the and the be better,1
Trump insult and ALL and not one man on stage confront him None of them be worthy to be,0
I be wait for to ask When do you stop beat your wife,0
About last night Are you watch We get and all the good stuff from the on,0
EARTH TO THIS AINT ABOUT YOU,0
land the first haymaker of the night,2
Coming up on at live post,2
Because dont like debrief this AM on,2
from this week include the and Officially The Worst Week Ever,0
can feel comfortable as solve all scientific,2
Of course the wont pledge not to run as a third party candidate,0
sum up what last night One of our two major party have go off the deep end,0
Just remember no matter win the everyone who watch it lose,0
It cost time more than the it if it be be manage by h,0
you disgrace yourself last night,0
Prediction in the final Trump will tear off his mask to reveal a smirk,0
to Please Come Back I Cant Do It Alone,1
In midst of come big blow to with announcement that lead Democrat Sen wont b,2
Ted be angle himself to be a slightly less loony version of Trump,0
Meet the new darling of the leave Kelly,0
That abortion question disgust,0
and praise and they think they do a good job Not a good thing,0
statement on be solely focus on,2
My become a st tier candidate yesterday Otherwise change be ancient,2
a lesson for come quality and not quantity in word time for tangible and believable,0
When and the New York Times be praise the you know they do it completely wrong,0
First Republican Debate The Candidate Report Card,2
According to the candidate tweet of the didnt come from a Republican,2
display utmost authority at critic say,1
Not one candidate speak up against plan not one condemn his racist comment wont forget,0
be my hero,1
The science council be more worry about climate change than these scary people,0
my very valuable presidential endorsement until I hear about point of view on the amendment,0
statement on be solely focus on,2
never have an abortion with and DONT NEED THEM EITHER Basically everyone tonight,0
THIS Rick Gay Marriage No Constitutional Basis,2
Every part of the world have touch be worse today,2
win the last night Only candidate who answer question directly and not afraid to take on tough issue,1
The Best at from the Fox News,2
Mike be the star of the focus group show When he speak the feedback,1
Watching the this afternoon I think be the real winner quiet but effective,1
And here come the gay marriage section,2
Pepper be give me some serious tonight,0
R They know how to use for,0
Re China You deal with a playground bully by punch them in the face put them on the grind they only,0
Lots of in my and Twitter be tick at Fox News for run that hatchet job of a debate,0
I wont defend they be FAR from fair OR balance last night but name call be juvenile,0
off to Ben for use the term useful re and the secular progressive movement,1
Your Fox team talk for of while Walker talk for Your obvious goal be to ambush everyone Pathetic,0
I actually agree with on something She say didnt hurt himself in and I concur,1
Like Ben brain Mike heart Marco soul fight hope Add Fi,1
Speed Dating For A New President Interesting Article on the,2
Was Debate a Campaign Preview or by on,2
The be like a super cage fight of bluster bumble old without the ca,0
The military be not a social experiment The purpose of the military be to kill people and break,0
BREAKING Its a tie for the from the,2
Just curious have I miss your rat tweet about the,2
Kelly be no role model doesnt speak for me or my prof Now a real woman Kelly be a poser,0
trump,0
This feel like FOX News try to be the cool parent that let their have a party now the house be on fire,0
Its unconscionable that ask ALL the except foreign policy nat sec question i,0
The military be not a social experiment Its purpose be to kill people and break Mike,2
YOU ARE NOT PRO LIFE YOU ARE PRO CONTROL YOU ARE PRO RELIGION YOU ARE PRO YOU THIS IS NEVER ABOUT THE MOTHER,0
Solid debate tip take a gander,0
job be our moral purpose because they strengthen our,1
Magnificent at the first I support Ted as but would support you as run mate or POT,1
If a woman who support R party please wake up and get inform,0
the clear standout among cannon fodder But his record contradict on acceptance,1
Primary be still a long way away so my could change and I hope we see more of these than just sound bite,2
The anti unit of the Personal Destruction Force be now work sure,0
As President Ill end the national disgrace of fail to care for vet who sacrifice for our country,2
At least he be honest about it,2
My mother work Nobody,0
So we have get behead overseas and be worry whether call f,0
REAL IDOL AS Whose Consent How Are Made,0
Democracy and political debate as entertainment Not a particularly sterling quality of our federal republic,0
fear NOT People who live in fear be not free and have no liberty Fear be,0
The Glass Slipper,2
Social Media Even Beating Out Trump Fox Nation,1
I wonder if the will address actual for climate change and clean energy,0
misogynist ignorant and greedy another proof that money do not buy class,0
SLAVERY the real illegal alien on Immigration the Bor via,2
seriously would you vote for any of these We NEED,0
Disagree all you want be hit job on and calculate mute job on,1
I actually agree with on something She say didnt hurt himself in and I concur,1
R exotic design for diamond ring,2
take from Hope to Higher Ground Will you help,1
Just get catch up on the and felt like I should write a joke about it but the biggest joke of all be the whole,0
make me want to blow rail with W before we wreck his car,0
Keep religion out of politics,0
The would have have an audience if they debate Sanders,2
what be on about Re This be absurd,0
still vote blue,2
eat lunch out and these two old ladies discuss the be give me life They shade and Trump,0
be an important reminder that these guy think of as carry case for,0
May the Lord guide my word tonight let His wisdom be my,1
Note to the question wasnt about love it be about gay marriage,2
pretty much,0
Rush to Kelly I know no Democrat Candidate would be treat the way Kelly treat Trump,2
Trump literally say that he donate to and then call them later to get what he want He literally just say that,0
Meanwhile back at the White House,2
none of the presidential bring a i mean at least liven up your crazy,0
@ hair arrive early for the Republican Party presidential debate,2
He be just so know what he be say He believe what he be say,1
Technology First Only To Analyze Audience To,2
Proved Walker Literally More Often Than He The Truth,0
I want to quietly walk out onto this stage and all these hollow,0
Debate be good once they quit throw crap at and get substantive handle the question,1
These clown didnt even tackle Climate change They didnt mention Inequality at all Are you surprise,0
Are they go to ask penis ONE question This be very disrespectful,0
So who watch the Debate last night and saw Trump,1
the level of lie and and general,0
Wonder how much of show will be about her,0
Never lose focus on the truly important issue,1
Trump call a be reprehensible This be about choose a candidate for president NOT the Jerry,0
be the word of the night,2
Not mention in the Voting right Climate change Gun violence Police shoot Student debt Inequality,0
Its almost time Tune into at,0
This be an amaze degree of commitment to a run joke,1
focus group He be very articulate very relatable make a lot of good point h,1
be still Clown Show glad Head Clown Trump help destroy,0
Dear,2
want to and want to legalize prostitution and drug,0
Favorite line take on the and beat them sure that empower disenfranchise the who teach em,0
Current mood re,0
If the b be build in the s like complain doesnt that mean St should have build more,0
Maybe on the next will go after year position because he switch party too,2
Perry say he would rather send to negotiate with than Kerry,0
NOT A FAN OF but she deserve better than to be call by for do her job,1
Excellent debate analysis from my friend of,1
I cant tell if these be just bad cramp or my uterus try to flee the country as I watch the,0
And now the realization dawn on us Holy be watch Fox News,0
Hey You know who didnt whine about unfair question Grow a set why dont ya,0
spend the with Kim and This be what I love to see,1
seem like a decent guy shame hell drown out by the in the,0
My feel about Trump after,0
In the end Bingo,0
say he be appoint US Attorney Sept He be actually appoint,0
fundamentally misunderstand the th amendment get own by over,0
Fun Fact in this party of super not a single candidate on stage have serve a day in the military,0
will be take twitter question on in of show Watch live,2
SURPRISE TWIST appear on stage tap his ring on the podium then push all in front of a train,2
Trump threaten to take ball home after hard hit,2
Thank you for speak out on,1
IRONY Watching men debate right to choose,2
The First Social Media Reaction and More,2
the real illegal alien on Immigration the Bor via,0
Which candidate really like hug The one word that define each,1
I assume you guy didnt boo a gay soldier this time only because the opportunity didnt arise,0
say love his if they be gay but his vote record say otherwise,0
MY mother work THEIR mother work YOUR mother work Nobody mention their mother Nobody,0
more than the it,2
tonight Really just see who can cut the best,2
the new Cant wait for his coverage of,2
Loving Smart and on point,1
warren As a reminder Less than percent of what do deal with But this debate wont tell you,0
base have be target by leftist terror campaign for the establishment relentlessly manipulate that,0
Are you not entertain Then throw a sever head into the crowd,0
Check out the best line from the first,2
not really sure about President but Ted would make an excellent Marvel villain,0
During debate on terrorism dont expect anyone to bring up white engage in terrorism,0
can feel comfortable as solve all scientific,0
Here be some of the highlight from last nights,2
Trump Was A Con Man Who Deliver The Goods |,0
Primary Tourney bracket format to narrow to final,2
didnt offer a single solution to any salient issue,0
so which presidential candidate stick their thing into the presidential electric sharpener,0
Technology First Only To Analyze Audience To,2
any who leave join should lose their passport So theres no come home,2
Love that introduce a bill to strip citizenship from who join,1
dude I totally think the pic from the be photo shop guess not so righteous,2
Teacher Seriously be dangerous for the whole world,0
Would you really let a mother die rather than have an abortion Was seriously be ask of a presidential hopeful,0
Bush I Parenthood he be that he deny of access to life save,0
on be a writer at the top of his game,1
Now we know strategy go after Trump get nothing to lose he be nowhere anyway,0
Credit where credit be due I be shock by cogent health care debate response,0
That conclude our debate Please welcome the who will choose an ideological from our,0
Amusing to hear men who choose not to serve in the military talk tough about use other people to backup their b,0
Is God go to be like the or something,0
Id pay some serious $$$ to watch someone grill these egomaniacal bully in an interview,0
Kind of glad I didnt get to watch the yesterday Better for my mental health,1
Well technically we didnt but the Supreme Court say we do,2
Maybe the just get confuse with She think I steal,2
I SWEAR TO GOD IF ANOTHER WHITE MAN ON ABORTION LIKE THEY KNOW WHAT ITS LIKE BEING PREGNANT,0
Fun game When the replace the word God with or,2
@ Trump too selfish immature to have power,0
After my I think I gain political but lose of my teacher peep U cant win them all,2
Kelly You call you dont like fat pig dog and disgust Trump Only Crow,2
Ten rich spout nihilistic applause line be not a debate It be a,0
Really think have a solid performance last night,1
man in the room last night barely get any speak time a little salty about that,1
Highlight video part from the party last night Full video here,2
have a good do well tonight,1
Hey Kelly ask Kelly how attack me this week work out for her,0
get powerful response from focus group,1
Why be God religion important in an election Religion shouldnt play a part in the decision make in your country,0
That pose be SO awkward Who in the hell do she work with stiff not natural like the last night Pat,0
The discussion of racist police violence be over before I finish type that tweet,0
the outsider Always tell the truth,1
tell me more about this em by the neck wing of your party,0
If sick of analysis wait until night when and be lock to make us all,2
i dont care if you think you dont have time to be be respectful to be something that should be in your nature,0
Ben No one seem to see me or care what I have to say But racism doesnt exist,1
Get ready to play bingo,2
Its not a coincidence that you watch the unless you have cable,0
You need to be knock down a peg or,2
at the After Party Rand get in since the bar be at doesnt allow,0
think high rat for be because of HER Hate to break it to you honey,0
out of a restaurant last night even before my meal come feel sick to my stomach,0
of the as far as concern,2
Two debate one winner,1
Both debate stag be so fill with deceive it stink to high heaven,0
If we play survivor should replace,2
Anyone know why Kelly be so piss at me during the pretty sure I be never marry to her,2
Surprise surprise think life be a social experiment,0
Biggest in the be and Cynical arrogant condescend host,0
Crazy day fun night exhaust week This be before the fire up for the big event,1
it,1
Did you ask if his moment have pass Would you have ask in the same Worst question of the,0
Theyre talk about like Wick I love it,1
Strange God tell me NOT to vote for them,0
Rick say it best,2
US Economy add job in This must be the result of talk about last nig,0
be one of the biggest night without even step on the stage,1
Re Sure its all fun and game until one of these have his finger on the big red button,0
How do everyone feel about the Climate Change question last night Exactly,2
Absolutely I have author law The leader of our OWN party BLOCKED law,1
talk about the Meanwhile debate between Banana Chocolate or n Cream,2
Trump should have tell Kelly to go to HELL,0
Bring on the Democratic Debate already Please Thank You,2
Everyone still talk about what a great job do at the last night Articulate and very good point make,1
We need a new who will stand up to our and that have credibility,2
Should Never Apologize for Being,1
Should Never Apologize for Being,2
and be the only two that stand out in the open act,2
Since when do Fox care about lady Plus sole goal in the be to come out the winner,0
Last time I hear stupid idiot use so liberally in a debate be during a race for the president of my kindergarten,0
I have to laugh when mention the pimp Get em all Mike,1
My message from the spin room to The winner of the tonight be next Democratic nominee,0
Overnight s have a household rat The biggest debate in have rat,1
Elder Trump to Rand tonight,0
be a great theatrical performance They should do Broadway,0
I be not a Fox News fan and not a fan But she do an amaze job last night impress with her,1
Although the occasional dick sure know how to keep these political debate alive and excite,0
So its to kill people if in the military but its not to get an abortion if a rape victim,0
spend night with the,0
So its official the Platform be less abortion more war Thats it Thats what they be after,0
Kill people and break just describe the,0
I think win Hard hit question of concern to majority of voter not just fringe base,1
our skin do not make us who we be Its our brain How be that a sellout,0
Final from the tonight the Republican Party be out of touch and out of date,0
After Party Update and Bush be huddle in the corner speak I think theyre,0
Abortion be never medically necessary Why be you tout talk point in question to,0
BREAKING President and closely watch the,2
Abortion be a talk point in the since,2
The real fun be fact check the,0
just compare s marriage rule to why that analogy be nonsense,0
Priceless clean clock This woman be a contender h,1
RIP This be why must die Its either them or normal,0
The future First Family at the,2
The Master of Useful Humor,2
After this debate my opinion change the MOST about Utterly Disappointed,0
A great discuss issue important to the people Join our fight,1
I share some I have some on side but I have no enthusiasm dont want to vote for any,0
Fox News be obviously try to influence the of the Republican field,2
Rand rock that Wet and Wavy,0
SPOILER ALERT A rich white guy tell the country how go to help other rich white,0
Anybody get some free last night,2
Bush look like an Art Teacher for an inner city school and everyday his car get vandalize,0
see Bush try to solve a Common Core math problem,0
Ben be bore He need to punch Trump in the face so he can get in the game,0
Somebody need to get the water off the stage before Trump and start toss drink at each other,0
sho be silent @,2
So when do we get to police brutality and black live I bet Ben get that question Thats IF they even ask it,2
Agreed Still the one everyone be talk about,0
view on immigration be base solely on the first of SCARFACE,0
Rightly so Frank Rightly so,1
Maybe if we should pay attention to every little thing not a novelty,0
Total number of mention of Min Wage in Rep debate ZERO,0
Or better say,2
Ben doubt will be the nominee Ben do you still have your tool And a mirror lie d,0
lead show just how low the Bar be for Nomination speak to Base approval of their elect,0
same old tiresome The Debate There He,0
Thats too extreme and violate the First Amendment,0
Keep It Up,1
why it be so frustrate to watch the as a woman via,0
Rand too combative and mean and the fix be in Biggest Loser credibility,0
Bush have to earn this Said no Bush ever,0
There be no such thing as a politically correct war,0
Teacher Imagine a Administration deal with a crisis,2
You Dont have to support Trump to realize that every question be deliver in a Backhanded manner,2
I Agree be a FORCE,1
How @ and I be deal with the these be the,0
We do not project power from bankruptcy court Were borrow a million a minute Rand,2
Fact check for those just recover from last nights,2
make me giggle,1
I believe that the phrase If I be the nominee I will not run as an independent be utter,0
The other be pretty calm consider they assume mug them at some point,1
really great in Orange be the New Orange,1
Half the Republican base have dementia They probably find it rivet when not confuse the toaster,0
as she watch this train wreck,2
What be the best drink game for the tonight,2
Wait do Rand want to marry a gun Not say thats a for me but still,0
Is Joe elite sign crash Republican no one know,2
Id vote for a of moonwalking across the stage right about now,0
Trump Majority of arent Thats what grandstand understand real issue look,0
The be like a super cage fight of bluster bumble old without the cage,0
Rand could drop out of top w dreadful debate move up,0
be look more like Sanders on the issue,0
The official debate from Loser Loser Loser Loser Classy Loser Loser Loser Loser Loser,0
Weve get a clip from Mike that be the number dial clip of the ENTIRE,2
madness last night this morning,0
Just say,0
Hey can you let us Rep digest the before you allow to TRASH ALL OUR,0
The Illuminati want him out but he will win the same,1
Hey if you want to check out the Constitution its right here in Ill keep the bridge open for y,0
web stream and mobile fail during Why be I not surprise,0
Bush promise the fall troop wont have die in vain How about of gun,0
The as theater web drama and reality via,0
Not one,0
LOVE If you join you be sign your death warrant Go Ted go Anyone that join lose their,1
God make a cameo appearance in last nights Were sure there will be more to come,1
Trump be Drunk Uncle,0
Watch strong close statement at the Video,1
Hey guy be allow to vote WHAT Thats impossible Build a wall around their uterus,0
No one sum it up better than,2
Retrospect need someone listen not arrogant say,0
base on your slightly thankful I skip the yesterday even,0
Hey do you file a claim after smash you last night,0
ur complain so much about be target but do u think that when ur president u wont be target,0
Last night the face up to the Yellow Peril watch so you dont have to,2
which be NOT fair and balance,0
Dear Walker How be you if you would let a woman die rather than receive an abortion,0
D @ m straight Unbelievable the misogynistic racist tone Repugnant sad state of,0
Ted look like someone put a suit on a sigh,0
the,2
Unlike well talk race activism on @,0
have who delete subpoena,0
be wake up,1
I grow up the Vote for me,2
treat like the little gnat he be,1
