ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('negative', 0.822)",negative,Sad,"('Sad', 0.3476745379739509)",On the way home one Friday night in the heavy rain the car acquaplanned. lost contact with the road surface for few seconds.
"('negative', 0.909)",negative,Angry,"('Angry', 0.8198630983226284)",Mad at my dad.
"('positive', 0.893)",positive,Happy,"('Happy', 0.5453301579817063)",case of unrequited love.
"('negative', 0.382)",negative,Fear,"('Fear', 0.6246679858888791)",bad smelling cucumber.
"('neutral', 0.411)",neutral,Fear,"('Fear', 0.5708314213662595)",Nearly caught masturbating.
"('negative', 0.852)",negative,Angry,"('Angry', 0.4198212549828618)",do not help out enough at home.
"('positive', 0.997)",positive,Excited,"('Excited', 0.4202116381684819)",felt very happy when won the football pools.
"('negative', 0.499)",negative,Sad,"('Sad', 0.3912800015983862)",When flew from Athens to Copenhagen after holiday. The plane was caught in storm and it began to shake and thouhght that we were going to crash.
"('negative', 0.922)",negative,Angry,"('Angry', 0.7837389928557459)",When someone stole my bike.
"('neutral', 0.753)",neutral,Happy,"('Happy', 0.3111865124117398)","When saw the list of books to read for an acccouting course, thought Oh God how will ever manaage it!\"""""
"('negative', 0.662)",negative,Fear,"('Fear', 0.2740791544853516)",It was when read newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed frog between two pieces of bread.
"('negative', 0.559)",negative,Sad,"('Sad', 0.32951862356197426)",When dropped bottle in the state liquor store and everyboby started laughing.
"('negative', 0.47)",negative,Fear,"('Fear', 0.3233966225825268)","When was young , pinched from store and was caught. The store then contacted my parents."
"('positive', 0.952)",positive,Happy,"('Happy', 0.42339574577176053)",When the whole family gets together for one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves.
"('positive', 0.797)",positive,Sad,"('Sad', 0.6295371962980483)","When could not find my year old daughter. ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep)"
"('negative', 0.859)",negative,Angry,"('Angry', 0.4566360158586348)",When friends try to put me down or hurt me.
"('positive', 0.588)",positive,Sad,"('Sad', 0.3229019810061899)",Marriage crises. Boredom.
"('negative', 0.83)",negative,Angry,"('Angry', 0.6282536437825716)",When someone makes advances that one does not want.
"('positive', 0.486)",positive,Sad,"('Sad', 0.27843331520102416)",The discovery that one has only thought of oneself.
"('negative', 0.871)",negative,Sad,"('Sad', 0.35422502563465036)",When spanked child in anger and later regretted it terribly.
"('positive', 0.541)",positive,Sad,"('Sad', 0.28532616876042993)",When passed the first examination that had to repeat.
"('negative', 0.619)",negative,Sad,"('Sad', 0.34853245185212506)",When drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.
"('negative', 0.928)",negative,Sad,"('Sad', 0.5717919545425582)",When my boyfriend went away for month long holiday without me.
"('negative', 0.581)",negative,Sad,"('Sad', 0.386026461344478)",Last year when worked during the Summer holidays and studied at the same time for an examination had to repeat; my boyfriend went to Greece for holiday for month.
"('positive', 0.36)",positive,Sad,"('Sad', 0.40343644662353145)",When dog is left whining outside shop.
"('negative', 0.724)",negative,Sad,"('Sad', 0.4693443741982579)",When promised to help friend over weekend and did not keep the promise.
"('negative', 0.572)",negative,Sad,"('Sad', 0.3267672368065532)",When realized that had three more examinations to take.
"('positive', 0.876)",positive,Excited,"('Excited', 0.3243970819394623)",The day was told that had been accepted as student of economics.
"('negative', 0.955)",negative,Fear,"('Fear', 0.2794232618739815)","While taking short cut through the Vasa park, was surrounded by three people who tried to steal my money. was scared and was saved only by the appearance of other people."
"('negative', 0.955)",negative,Angry,"('Angry', 0.6005168106977)","At restaurant observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger feel when see people being used"
"('negative', 0.874)",negative,Sad,"('Sad', 0.38559222603903515)",At the begining of new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future.
"('negative', 0.835)",negative,Fear,"('Fear', 0.39673044347980974)",While walking in town noticed how the police harrassed man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.
"('negative', 0.791)",negative,Sad,"('Sad', 0.3977829954049973)","When my boyfriend revealed that he knew that had discovered things of an important nature about him, felt ashamed as had not mentioned it earlier."
"('negative', 0.774)",negative,Sad,"('Sad', 0.596655612296339)","When am dishonest to friend to whom am very close. feel guilty because know that he gives different version of the truth and have not corrected these mistakes, and he is aware that know that they are wrong."
"('positive', 0.557)",positive,Excited,"('Excited', 0.27047860084302205)",When found out that had passed the last two exams by margin of three marks.
"('negative', 0.456)",negative,Sad,"('Sad', 0.289124850012004)",When my father was ill and was waiting for the results of his tests.
"('negative', 0.905)",negative,Fear,"('Fear', 0.28385475613610944)",When got caught in the pouring rain last Thursday and did not have raincoat on me.
"('negative', 0.626)",negative,Angry,"('Angry', 0.3268434326410889)",When failed an exam.
"('positive', 0.653)",positive,Happy,"('Happy', 0.3897638754391606)","At SmÃ·rgasbord table, man mixed differnet kinds of picked herrings with fruit salad."
"('negative', 0.755)",negative,Sad,"('Sad', 0.5278703555253337)","When had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor."
"('positive', 0.766)",positive,Excited,"('Excited', 0.2692155519354804)","When my father and worked on the house just after he had recovered from illness, was rather lazy. This meant that he had to work hard and was not very well later."
"('positive', 0.731)",positive,Sad,"('Sad', 0.3736901249325702)",When gave birth to my son and saw that he was alive and that had managed it well. He was born month too early with malfunctioning lung. This happened year ago.
"('positive', 0.616)",positive,Sad,"('Sad', 0.7012851299392421)",When found out that my father had lung cancer and they did not know how long he would live.
"('positive', 0.678)",positive,Sad,"('Sad', 0.21061462079597096)","When colleague asked me for help at work, despite the fact that he had more time to do it than had."
"('positive', 0.519)",positive,Sad,"('Sad', 0.3843170019653666)",When did not get the salary increase that had been expecting and understood how little one's work was appreciated.
"('negative', 0.723)",negative,Fear,"('Fear', 0.39186296647840535)",When was weeding the garden found lizard in my hand.
"('positive', 0.452)",positive,Sad,"('Sad', 0.3484259954947779)","When met friend whom had not seen for long time and heard all about her troubles, thought that should have got in touch with her earlier."
"('negative', 0.544)",negative,Angry,"('Angry', 0.3454906180723891)",got angry at my mother for something trivial. We were in bad mood because my father was very ill and knew that my mother really needed support. had reacted wrongly.
"('positive', 0.972)",positive,Happy,"('Happy', 0.5300653560982281)","New year's eve /, met my girlfriend. We stood on the steps outside her parents home and kissed her for the first time."
"('negative', 0.93)",negative,Fear,"('Fear', 0.4768480646806626)","When was stopped by plain clothes policemen because the car was driving had overturned on the Avenue. had been driving too fast, and was afraid when was stopped, questionned and then toild to go. The situation ended happily since there were no consequences."
"('negative', 0.595)",negative,Angry,"('Angry', 0.278970695571574)",The editor changed the heading of an article that had written. He considered the heading to be derogatory towards the person had written about.
"('negative', 0.656)",negative,Sad,"('Sad', 0.8268292252371432)","close acquaintance of the family died of lung cancer. Although it was expected, still felt depressed."
"('negative', 0.873)",negative,Sad,"('Sad', 0.5525791038585546)","When saw picture, in the Gothenburg Post, of totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident."
"('negative', 0.826)",negative,Sad,"('Sad', 0.39165465970979624)",One night had sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. am ashamed of myself now.
"('negative', 0.734)",negative,Sad,"('Sad', 0.2656881440926033)","Due to laziness, failed the term studies completely at University. also wanted, to some extent, to protest against my parents' expectations."
"('positive', 0.526)",positive,Excited,"('Excited', 0.400575226608339)",When got the loan for my studies.
"('positive', 0.412)",positive,Fear,"('Fear', 0.36396070665596725)",met intoxicated people with dubious intentions in back alley one Wednesday night.
"('negative', 0.43)",negative,Fear,"('Fear', 0.30935863801149954)",On the T.V saw news feature on South Africa. policeman attacked group of black people with whip.
"('negative', 0.845)",negative,Angry,"('Angry', 0.3681901032200824)",The thought of having to read boring book of  pages in English.
"('positive', 0.583)",positive,Angry,"('Angry', 0.42074042691969027)",Grovelling people.
"('negative', 0.365)",negative,Sad,"('Sad', 0.3102006533872066)",My inability to assert myself positively in group.
"('negative', 0.934)",negative,Sad,"('Sad', 0.5172086709480401)",experience feelings of guilt because do not study enough.
"('negative', 0.665)",negative,Fear,"('Fear', 0.5144553645725872)","Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners."
"('negative', 0.887)",negative,Sad,"('Sad', 0.3298319460084101)",guess have often been ashamed after having talked badly of other people.
"('negative', 0.947)",negative,Angry,"('Angry', 0.6812746538723375)",Having been angry and unpleasant towards my parents.
"('positive', 0.817)",positive,Angry,"('Angry', 0.2522040723290804)",When my sister after history of one abortion and one stillbirth gave birth to perfectly healty boy.
"('positive', 0.865)",positive,Sad,"('Sad', 0.5709114638637746)","When my sister had the still born child, she was emotionally very deep down, and it took her long time to recover."
"('negative', 0.942)",negative,Angry,"('Angry', 0.42914149687679115)","We were starting student project, and the teacher we talked to was very negative and not very helpful."
"('negative', 0.692)",negative,Angry,"('Angry', 0.43815434432532196)","When my boyfriend openly let me down, preferring another girl."
"('negative', 0.938)",negative,Angry,"('Angry', 0.41159555499159745)","felt some disgust for my boyfriend for time, after he had left me."
"('negative', 0.93)",negative,Sad,"('Sad', 0.3197319697996659)",Can't think of any.
"('negative', 0.832)",negative,Fear,"('Fear', 0.28832790945685005)","Before an accident, my aunt offered me the front seat of the car, next to the driver. declined, she took that seat and was killed there when the car crashed."
"('positive', 0.668)",positive,Fear,"('Fear', 0.34238203806174905)","Unexpected visit by close friend, whom hadn't seen for half year."
"('negative', 0.547)",negative,Angry,"('Angry', 0.5095703739326845)","wandered by mistake into the safety zone of shooting range, and was shot at."
"('positive', 0.627)",positive,Angry,"('Angry', 0.25436090557672475)",Being treated unfairly.
"('negative', 0.394)",negative,Sad,"('Sad', 0.43827815394497716)",Breaking up with girl.
"('negative', 0.972)",negative,Angry,"('Angry', 0.27585147485732653)",Nothing.
"('negative', 0.81)",negative,Angry,"('Angry', 0.5744423757050641)",None.
"('positive', 0.72)",positive,Sad,"('Sad', 0.5652174633843862)",Little contact with my father before he died.
"('negative', 0.442)",negative,Sad,"('Sad', 0.47708692719112106)","When was accepted as student at the college, not having thought it possible."
"('negative', 0.554)",negative,Sad,"('Sad', 0.6002591422412402)","When was the first to arrive at the scene after an accident, and found that close school friend had been killed."
"('negative', 0.959)",negative,Angry,"('Angry', 0.7763448262789067)","was accused of having done something, which hadn't and got very angry."
"('negative', 0.474)",negative,Sad,"('Sad', 0.7736676910709451)",When my grandmother died.
"('negative', 0.819)",negative,Angry,"('Angry', 0.34835245442036794)",Not applicable.
"('positive', 0.866)",positive,Excited,"('Excited', 0.2769540062040063)","couple of years ago during the summer holiday, was fishing at lake with my husband. Suddenly it started raining while the sun was still shining. experienced feeling of joy, happiness and fulfillment. the whole nature was full of music."
"('negative', 0.87)",negative,Sad,"('Sad', 0.4009194332019948)","was alone at home, in bed reading womens' magazine in which there were storiees of paranormal experiences. My leg was itching and stretched my hand to scratch and felt another strange hand. (later realized that it was the corner of the blanket)"
"('negative', 0.969)",negative,Angry,"('Angry', 0.746515737128322)","went to lecture and once again it had been cancelled, this was the second time. One had negative attitude towards the lecturer.Ã¡"
"('negative', 0.82)",negative,Sad,"('Sad', 0.6720989331378779)","heard that former superior of mine had died, was later at home home reading about it in the newspaper and thought of our interaction and how it was no longer possible. The limited scope of human life is sad."
"('negative', 0.959)",negative,Fear,"('Fear', 0.6442097857550857)","In the tram there was fat, sickly looking woman in front of me who was asking for directions in thick voice. When she got up to go disgusting smell of urine came from her. felt that would choke."
"('positive', 0.883)",positive,Happy,"('Happy', 0.3304702873233356)","When we were at home, my husband and I, he made remark about something had done, in perfectly friendly manner. My deed had been unjust and knew that my husband was right, therefore my sense of shame."
"('negative', 0.517)",negative,Angry,"('Angry', 0.28026816056707415)","made remark to my sister concerning her attitude to men, the way she talked and compared her to an acquaintance of mine. Later, the same evening, my sister looked sad. felt guilty about her sadness."
"('positive', 0.941)",positive,Happy,"('Happy', 0.5261607980674285)","had summer job in Sweden, and my boyfriend came to meet me on my birthday."
"('positive', 0.504)",positive,Fear,"('Fear', 0.49897150447296124)","went to practice in Sweden during summer, and was afraid that would not do well."
"('positive', 0.83)",positive,Bored,"('Bored', 0.40634254392308056)","In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing radio played at the highest volume into my room it was the morning service at its loudest."
"('negative', 0.869)",negative,Sad,"('Sad', 0.6823572254391801)",My grandmother died suddenly last summer.
"('negative', 0.916)",negative,Angry,"('Angry', 0.6580231830589268)","My superior at the summer job swindled customers as much as he could, and once put me in difficult situation after which could not but detest him."
"('negative', 0.729)",negative,Bored,"('Bored', 0.7589539398598887)",Once arrived two hours late to my work place (a bank) and was still feeling feeble and tired.
"('negative', 0.613)",negative,Sad,"('Sad', 0.29216170083952653)",Our association had Polish visitors and when they were going back by boat did not go to see them off (I am the chairman of the association).
"('positive', 0.968)",positive,Happy,"('Happy', 0.3536205571422625)","was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation. was really surprised and joy was the first emotion felt, though behind it there was worry how shall succeed"
"('positive', 0.44)",positive,Excited,"('Excited', 0.3394958247228334)","Our tutorial group was soon to be divided, and we got list of names of freshmen, out of which five were to be in my group. We read the names and then each group went its own way to seminar room. wondered how would cope with the new situation and if would succeed as group leader."
"('negative', 0.915)",negative,Happy,"('Happy', 0.2896690716141885)","We were in disco and the evening was not at all pleasant. Despite my not knowing why, was angry with my companion. let him feel my bad humour as cannot hide my feelings."
"('negative', 0.836)",negative,Sad,"('Sad', 0.36613223438314363)","My grandmother died, and my mother called me one sunday morning in the Autumn. The way my mother told me about it, hated her at that moment. She sounded as if she had been waiting for the death of my grandmother. had lost person close to me. felt guilty too as had been bad to my grandmother of late. had not remained calm when she no longer understood everything so well."
"('negative', 0.945)",negative,Sad,"('Sad', 0.25401820376562134)","At the underground station, drunkard came to speak to me. He tried to ask me something but did not answer so he began to speak about me with his companion. detested this dirty growling man."
"('negative', 0.941)",negative,Sad,"('Sad', 0.35204497451462363)","was worried by task related to my studies which had to be done in groups of two. was talking about it to my friends when said something negative, in too abrupt manner, concerning my work partner. did not quite mean what said and felt ashamed at having been mean enough to criticize him as he is also friend of mine."
"('negative', 0.789)",negative,Sad,"('Sad', 0.3043449918017578)",had told my boyfriend that did not want to go on with our relationship. knew that was important to him but wanted to be free. saw that this was difficult for him but remained firm and did not change my mind.
"('positive', 0.655)",positive,Fear,"('Fear', 0.3486049879885903)","Last night had chat with fellow student. had known her for about half year, and for the first time we were speaking \the same language\""- meaning an inspiring discussion and Ã¡,encounter."""
"('negative', 0.761)",negative,Sad,"('Sad', 0.2859315680008073)","sometimes quarrel with my mother because she blames me, though have not in any way been connected to some events.]"
"('positive', 0.543)",positive,Sad,"('Sad', 0.8192685780780578)","After hearing about the death of my grandfather. First could not believe it, but later wept and felt the situation was hopeless. felt lonely and wanted to be consolated."
"('negative', 0.617)",negative,Fear,"('Fear', 0.2947662608440097)","In the evening, while was watching TV, my little brother came in and started eating food he had brought from the kitchen while was trying to concentrate on the program."
"('negative', 0.536)",negative,Fear,"('Fear', 0.3934964197405119)",My little brother was arrested by the police at the railway station after he had drunk some beer.
"('negative', 0.722)",negative,Sad,"('Sad', 0.4729686668851116)","At my temporary job, have to restrict others' actions and make them obey me, and this very often gives me feeling of guilt. wish there could be some other way of acting."
"('positive', 0.891)",positive,Happy,"('Happy', 0.3930495895297057)","met dear friend of mine after long time. expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc..."
"('negative', 0.887)",negative,Sad,"('Sad', 0.6494097225763683)","felt fear of the purest kind after car accident. The incident and images of horror kept coming back to my mind. wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened."
"('negative', 0.701)",negative,Sad,"('Sad', 0.25529980726818463)","Two boys whom know were telling me, in an indecent manner, how they had teased young and shy girl know. They had despised her conviction, scorned and touched her. got very angry and did not try to conceal it and gave it back to them."
"('negative', 0.705)",negative,Sad,"('Sad', 0.60922383721437)","My sweetheart left me, or rather we decided to break it off by mutual consent. The consequences were unrestrained weeping, feelings of loneliness, hopelessness and disconsolation. felt that should find friend, to talk to joyfully and to forget."
"('negative', 0.848)",negative,Angry,"('Angry', 0.362435661267634)","Out of sheer curiosity, went to see pornographic movie in Copenhagen. The room was full of men, who panted and masturbated. Very disgusting."
"('negative', 0.841)",negative,Angry,"('Angry', 0.4208224513722507)","After having quarelled unnecessarily and without any reason, and having been stupidly cross in every way."
"('negative', 0.477)",negative,Sad,"('Sad', 0.23935872153032056)",Do not know.]
"('negative', 0.875)",negative,Angry,"('Angry', 0.3763921477284893)",Forced to fill in questionnaire.
"('positive', 0.762)",positive,Excited,"('Excited', 0.4026772813492616)",When won tennis match.
"('negative', 0.786)",negative,Angry,"('Angry', 0.46778070369928393)",When my dog ran out on thin ice last spring.
"('negative', 0.761)",negative,Angry,"('Angry', 0.5542643861591854)",When my tennis match was interrupted because kid cycled right into the court.
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('positive', 0.921)",positive,Happy,"('Happy', 0.5053937288785966)",Celebrations on the graduation day with the orchestra playing in the garden am part of this orchestra).
"('neutral', 0.627)",neutral,Angry,"('Angry', 0.35838222265278014)",Risk of being involved in fight after party.
"('neutral', 0.466)",neutral,Angry,"('Angry', 0.33981055384300024)","had very heavy work load and two colleagues, whom have nothing against, disturbed me by \terror ringing\"", i.e Ã¡,continously interrupting me by telephoning."""
"('negative', 0.85)",negative,Angry,"('Angry', 0.29689216669182406)",After an exam which failed.
"('negative', 0.642)",negative,Fear,"('Fear', 0.49113700789386144)",Normally do not feel disgusted.]
"('negative', 0.638)",negative,Angry,"('Angry', 0.3434101387878991)","When overtook car on the mainroad, misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver (we could have collided), and had an acquaintance in the car with me."
"('negative', 0.957)",negative,Angry,"('Angry', 0.40161358587417934)","saw neighbour, from the same appartment block as me, lying on the road. He could have been injured or ill. kept  metres away and did not go to help him."
"('positive', 0.938)",positive,Happy,"('Happy', 0.32299602985395726)",When met an old schhol friend (school love) who works in Sk+vde.
"('negative', 0.918)",negative,Bored,"('Bored', 0.3561994132370727)","When was cycling to school, nearly got knocked down by car which (overtook me too closely) did not give me any swerving space."
"('negative', 0.524)",negative,Sad,"('Sad', 0.3073429928299942)","When was deputy manager during the Summer, certain deputies took liberties, more than what was normal."
"('positive', 0.749)",positive,Sad,"('Sad', 0.59429719133403)","When realized that my girlfriend, whom like, and were going to separate."
"('negative', 0.454)",negative,Angry,"('Angry', 0.23288886529000313)",Dog dirt which thaws in the spring.
"('negative', 0.616)",negative,Sad,"('Sad', 0.416675792605872)",When forgot my mother's birthday.
"('negative', 0.627)",negative,Angry,"('Angry', 0.26565938466159544)",Can not think of anything just now.]
"('positive', 0.903)",positive,Excited,"('Excited', 0.5043750635045077)",Passed the last exam.
"('negative', 0.603)",negative,Bored,"('Bored', 0.631032710795765)",Was nearly knocked down by car.
"('negative', 0.812)",negative,Angry,"('Angry', 0.31913574409274476)",reached the bus stop and realized that had forgotten my bus pass.
"('negative', 0.803)",negative,Sad,"('Sad', 0.38427191391731724)",My current work load is too much. The feeling comes back from time to time.
"('negative', 0.809)",negative,Angry,"('Angry', 0.3064404769572817)",Can not think of any situation.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('positive', 0.907)",positive,Happy,"('Happy', 0.35270636803012106)",When my one year old son gives me spontaneous kiss.
"('negative', 0.885)",negative,Angry,"('Angry', 0.4835194071803378)",When someone close to me is travelling by car and is delayed.
"('negative', 0.943)",negative,Angry,"('Angry', 0.468472502910375)",When someone does something wrong which affects me negatively.
"('negative', 0.659)",negative,Sad,"('Sad', 0.379502273568326)",When think about my parents getting old.
"('neutral', 0.43)",neutral,Sad,"('Sad', 0.2913826261433998)",Can not remember.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.645)",negative,Excited,"('Excited', 0.682249919480888)","do not have the time for other people's problems. My mother-in-law is sometimes depressed and do not have the time, the desire or the strength to help."
"('positive', 0.53)",positive,Happy,"('Happy', 0.3629475477364654)","An ex-colleague asked me if was interested in working in their accounts bureau. They needed \clever people\"" and he had Ã¡,\""immediately thought of me.\"""""
"('negative', 0.877)",negative,Fear,"('Fear', 0.4144264680397565)",was driving and deer suddenly appeared in front of the car when there was lot of traffic behind me.
"('neutral', 0.408)",neutral,Sad,"('Sad', 0.4034216541713961)",saw report on T.V news on apartheid in South Africa.
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('positive', 0.835)",positive,Fear,"('Fear', 0.3407356913649744)",When my girlfriend became pregnant.
"('negative', 0.384)",negative,Angry,"('Angry', 0.2833990475685031)",When nearly collided with another car.
"('negative', 0.547)",negative,Angry,"('Angry', 0.4583106189693762)",The time when someone let the air out of the tyres of my cycle.
"('negative', 0.759)",negative,Sad,"('Sad', 0.30470542327792094)",When read lot and did not remember anything.
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.71)",negative,Bored,"('Bored', 0.35619084580185567)",The time that had to put my dog to sleep.
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('negative', 0.877)",negative,Sad,"('Sad', 0.33646262250602693)",No response.]
"('positive', 0.538)",positive,Fear,"('Fear', 0.5223692759939803)",Long illness.
"('positive', 0.717)",positive,Excited,"('Excited', 0.3613701208091258)",When passed an exam.
"('negative', 0.929)",negative,Fear,"('Fear', 0.3651549762951163)","When was travelling by tram, tripped and fell against the door. thought that was going to fall out."
"('negative', 0.654)",negative,Angry,"('Angry', 0.4360988375192082)",When missed the tram after having run for it.
"('negative', 0.427)",negative,Sad,"('Sad', 0.2749823040882375)",The inability to read book at college.
"('neutral', 0.581)",neutral,Angry,"('Angry', 0.582258996440508)",If guy one is not interested in makes advances.
"('neutral', 0.66)",neutral,Fear,"('Fear', 0.3769506763707544)",drink wine too often.
"('negative', 0.765)",negative,Angry,"('Angry', 0.40363888385134483)",do not study enough as do not understand it properly.
"('positive', 0.983)",positive,Happy,"('Happy', 0.3814768543512884)",worked at lawyer's office during Summer and got very good reference from him.
"('negative', 0.601)",negative,Fear,"('Fear', 0.40924147741101713)",had been watching triller dark night in the country and had to go the outside toilet on my own.
"('negative', 0.907)",negative,Angry,"('Angry', 0.8580950743140379)","When am accused of something have not done, get unbelievably angry."
"('negative', 0.853)",negative,Sad,"('Sad', 0.3238539072629552)","When began to read thick book, which had limited time to read. Also when have lot of work to do and cannot keep up."
"('negative', 0.825)",negative,Fear,"('Fear', 0.7397097786657851)",Someone vomited on the street.
"('negative', 0.972)",negative,Sad,"('Sad', 0.40243680342463467)","can not think of any incident when have felt very ashamed. There are small incidents that am ashamed of, for instance, not sending money to the children in Ethiopia."
"('negative', 0.68)",negative,Sad,"('Sad', 0.5731644624611423)",had lunch with my ex-boyfriend and did not mention it to my fiancee. felt guilty despite the fact that felt nothing for my ex-boyfriend.
"('positive', 0.346)",positive,Sad,"('Sad', 0.47194026151131463)",When was finally qualified for my profession.
"('negative', 0.941)",negative,Angry,"('Angry', 0.3401753341883464)",Someone attacked me with knife.
"('negative', 0.967)",negative,Angry,"('Angry', 0.3617118857674268)",Someone drove into my car and then denied that it had happened.
"('negative', 0.584)",negative,Sad,"('Sad', 0.6785561433485272)",When was told that my friend's wife had cancer.
"('positive', 0.784)",positive,Sad,"('Sad', 0.40843373307608305)",When saw dog which had been knocked down by car.
"('positive', 0.496)",positive,Angry,"('Angry', 0.3508294837864874)",When boxed my child's ears.
"('negative', 0.668)",negative,Sad,"('Sad', 0.3169631796316662)",When was fined for speeding.
"('negative', 0.63)",negative,Bored,"('Bored', 0.43842691626030306)",stopped working (had boring job).
"('negative', 0.59)",negative,Sad,"('Sad', 0.29116561640714683)","was going home by car late one night when it was cold, dark and windy. became rather panicky on the way to my house."
"('positive', 0.792)",positive,Happy,"('Happy', 0.3531738870089241)",Quarrel in the family.
"('negative', 0.97)",negative,Sad,"('Sad', 0.4393211212915419)",When am alone in room with no contact with anyone loneliness drains me.
"('negative', 0.933)",negative,Fear,"('Fear', 0.6729384062253487)",When was on holiday someone vomited in front of me.
