ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('positive', 0.914)",positive,Excited,"('Excited', 0.28981034804888056)",The best and worst from the
"('neutral', 0.403)",neutral,Bored,"('Bored', 0.2299800247635415)",Big be and reaction to question
"('negative', 0.983)",negative,Angry,"('Angry', 0.48862250170899196)",a question WHY in the hell be our body part even in this debate stop it its not
"('neutral', 0.623)",neutral,Excited,"('Excited', 0.36445629332149504)",get behead overseas and be worry whether call fat
"('negative', 0.589)",negative,Bored,"('Bored', 0.3824928072359235)",I wont defend they be FAR from fair OR balance last night but name call be juvenile
"('negative', 0.532)",negative,Bored,"('Bored', 0.3138530200955379)",To God question underline how little anyone really care about religious
"('negative', 0.857)",negative,Bored,"('Bored', 0.4142293419733556)",The response to be pathetic
"('negative', 0.406)",negative,Fear,"('Fear', 0.25120992550781307)",say he cut tax by But that include cut in estate tax mandate by federal law
"('neutral', 0.513)",neutral,Angry,"('Angry', 0.31020519797107754)",Dear If you want to stop
"('neutral', 0.884)",neutral,Excited,"('Excited', 0.3666824573854893)",Join and sign your death warrant next President of the US
"('neutral', 0.932)",neutral,Happy,"('Happy', 0.35362385611587327)",close
"('negative', 0.634)",negative,Sad,"('Sad', 0.27868924419870855)",Status Single I break up with last night
"('negative', 0.392)",negative,Fear,"('Fear', 0.2533553951104841)",Before the focus say they have favorable view of Trump After only saw him positively
"('positive', 0.984)",positive,Happy,"('Happy', 0.37446067559056395)",@ Just make my first donation to So impress by her performance
"('neutral', 0.604)",neutral,Angry,"('Angry', 0.4151192085543037)",If we want to stop send foreign aid to place that burn our flag can we start with
"('neutral', 0.397)",neutral,Fear,"('Fear', 0.3643110575072878)",The Rand eye roll to at the
"('neutral', 0.513)",neutral,Angry,"('Angry', 0.38677579858277844)",Scrap the deal cant get a nuke
"('neutral', 0.52)",neutral,Fear,"('Fear', 0.2904516144980509)",Trying to decide if its too early to come back to Twitter Was wait closer to election but the may have me hook
"('neutral', 0.496)",neutral,Excited,"('Excited', 0.1962454823653287)",campaign reveal important thing Twitter be real people And they vote That should scare eve
"('neutral', 0.611)",neutral,Angry,"('Angry', 0.264438458277598)",Those say dont worry Trump will NEVER be elect need to remember we elect Bush Twice
"('negative', 0.611)",negative,Angry,"('Angry', 0.2614796929168577)",Fox News Had Its Own Agenda Promote never mention fire from run Trump out of race
"('negative', 0.549)",negative,Bored,"('Bored', 0.285735890905524)",Oh one more thing Did anyone hear anything about affordable child care for work last night in the I
"('positive', 0.888)",positive,Happy,"('Happy', 0.3426848929360539)",Dear
"('neutral', 0.417)",neutral,Bored,"('Bored', 0.3432327023363974)",Bill and be the A Team in the first debate debate be an ambush
"('negative', 0.615)",negative,Fear,"('Fear', 0.2718396109166235)",The go to hell and Kelly on be attack Trump for a war on
"('positive', 0.96)",positive,Happy,"('Happy', 0.4247561352982699)",Graham st Encouraging to see several express their faith in God and His Son
"('neutral', 0.629)",neutral,Angry,"('Angry', 0.30167870847677714)",say not politically correct Which of course be for face it huge
"('positive', 0.692)",positive,Bored,"('Bored', 0.2649806871102033)",A message to the
"('negative', 0.879)",negative,Sad,"('Sad', 0.46055278322283455)",This be the worst episode of The Apprentice that ever see
"('neutral', 0.535)",neutral,Excited,"('Excited', 0.2315732969048045)",As the line go up they almost reach It almost never happen in the dial research we do
"('positive', 0.397)",positive,Bored,"('Bored', 0.27915081837368405)",The purpose of the military be to kill people and break something an actual man run for president just say
"('neutral', 0.841)",neutral,Fear,"('Fear', 0.5079768505458753)",Wondering if I could get the Republican Party to pay for my liver transplant after play drink game last night
"('positive', 0.984)",positive,Angry,"('Angry', 0.2435683162624193)",Great way to start
"('neutral', 0.663)",neutral,Angry,"('Angry', 0.37618410237604133)",If elect on my first day as President Ill rescind every illegal and unconstitutional executive order enact by
"('positive', 0.695)",positive,Fear,"('Fear', 0.31790186359034067)",Trump during be like
"('negative', 0.76)",negative,Bored,"('Bored', 0.43399897752460237)",Was upstairs put the to bed How many question about climate change do I miss
"('negative', 0.613)",negative,Sad,"('Sad', 0.29697441962350557)",Theyre all Akin now How the Parenthood sting backfire on
"('negative', 0.43)",negative,Angry,"('Angry', 0.31431491550078805)",Hey let digest before allow crazy to TRASH OUR
"('positive', 0.891)",positive,Happy,"('Happy', 0.329679410728923)",Watch Trump Receive Enormous Applause for Horribly Misogynistic Answer
"('positive', 0.944)",positive,Happy,"('Happy', 0.3664118858259379)",A few of my favorite to the last night
"('positive', 0.972)",positive,Excited,"('Excited', 0.3986865542637073)",Even though a super conservative reporter I actually like interview style she do great at the
"('negative', 0.592)",negative,Bored,"('Bored', 0.3035119819242035)",The be not a debate at all Its a series of minute to avoid answer a question one candidate
"('positive', 0.717)",positive,Bored,"('Bored', 0.27772349424355625)",Credit for this joke go to someone else but it be funny
"('positive', 0.981)",positive,Excited,"('Excited', 0.29223006662676376)",Simply incredible Last nights double the previous record for primary debate i
"('negative', 0.672)",negative,Sad,"('Sad', 0.28544716546423154)",This literally be more true for me I Watched the All I Got Was a Lousy
"('positive', 0.783)",positive,Bored,"('Bored', 0.33765724188476864)",dreamer a little from this morning towards
"('positive', 0.888)",positive,Happy,"('Happy', 0.3426848929360539)",Dear
"('neutral', 0.632)",neutral,Fear,"('Fear', 0.513594842616465)",What people saw in person what we saw on
"('positive', 0.534)",positive,Fear,"('Fear', 0.2989666630176314)",Marco Told To His Face Candidate Of Yesterday For His Bigotry
"('negative', 0.706)",negative,Bored,"('Bored', 0.38958971752539073)",None of them have make Trump look out of place or foolish yet Think about that When do cry think about it
"('neutral', 0.55)",neutral,Fear,"('Fear', 0.24041905435403743)",Maybe the just get confuse with She think I steal
"('positive', 0.987)",positive,Happy,"('Happy', 0.4387918042894266)",Had a great time watch the last night
"('negative', 0.557)",negative,Sad,"('Sad', 0.258482178327579)",Trump say that he doesnt have time for political correctness How do call fat pig save him
"('negative', 0.556)",negative,Sad,"('Sad', 0.4778758999550995)",This be the we have now One of the people on now might be the next one RIP everything
"('negative', 0.659)",negative,Sad,"('Sad', 0.5662585253585001)",I think be catch by surprise by that first question and be never able to recover his equilibrium
"('negative', 0.924)",negative,Angry,"('Angry', 0.31626180450293234)",web stream and mobile fail during Why be I not surprise
"('neutral', 0.752)",neutral,Excited,"('Excited', 0.5371899964038439)",help create new job He can do it for
"('neutral', 0.905)",neutral,Happy,"('Happy', 0.34346985110375255)",Please help the replace in their convent
"('neutral', 0.728)",neutral,Excited,"('Excited', 0.4075178252996014)",At I win over our audience yet Can you chip in to help us keep it up
"('negative', 0.461)",negative,Fear,"('Fear', 0.21875474467261805)",Trump just say be a true gentleman then they start violently ing
"('negative', 0.922)",negative,Angry,"('Angry', 0.5383292668952201)",Ugh will these guy ever shut up about how much they respect
"('negative', 0.496)",negative,Fear,"('Fear', 0.3297023696334903)",What do the teach us about a future President Trump probably wont be safe except if be attack
"('negative', 0.827)",negative,Bored,"('Bored', 0.5198607501060941)",This be go to be a long tire election season shockingly at
"('positive', 0.887)",positive,Excited,"('Excited', 0.3318245067067044)",God have bless the Republican party with many great cant even find one
"('positive', 0.787)",positive,Excited,"('Excited', 0.5971459195584041)",The miracle can happen to you Grow opportunity and grow job
"('negative', 0.821)",negative,Bored,"('Bored', 0.2900377488477083)",Walker cant even carry his own state
"('neutral', 0.582)",neutral,Bored,"('Bored', 0.24349470920542407)",Black people if you need indication why hate us Peep this
"('neutral', 0.684)",neutral,Excited,"('Excited', 0.2736773391936999)",Sure God tell me I should run and the Tooth Fairy agree and all the vote yes so here I be
"('negative', 0.624)",negative,Fear,"('Fear', 0.2293219886624088)",Trump should have tell Kelly to go to HELL
"('negative', 0.877)",negative,Angry,"('Angry', 0.5106587643374365)",Caller on the Rush have lose all respect for Fox News
"('negative', 0.385)",negative,Fear,"('Fear', 0.2819476894885735)",s behaviour at the be astonishingly bias
"('negative', 0.381)",negative,Angry,"('Angry', 0.2330618298920805)",Debate Economics Bush
"('neutral', 0.417)",neutral,Sad,"('Sad', 0.27636668097272826)",Huh Half of charity go
"('neutral', 0.482)",neutral,Fear,"('Fear', 0.3419047163647872)",The order be to take out Trump but I wonder if FOX News be the one who take the order seriously
"('neutral', 0.482)",neutral,Fear,"('Fear', 0.2571637354094398)",watch the last night
"('positive', 0.939)",positive,Excited,"('Excited', 0.43495204484393934)",We all owe a huge thank you expose to the world be true
"('negative', 0.405)",negative,Sad,"('Sad', 0.2879371047328117)",Walker WI Budget Surplus Actually B Deficit
"('negative', 0.517)",negative,Bored,"('Bored', 0.3729239875127042)",right Last I hear be that only could give birth to s child that change
"('neutral', 0.475)",neutral,Excited,"('Excited', 0.33799042407257435)",Have any of you receive a word from God = Are any of you crazy
"('neutral', 0.536)",neutral,Bored,"('Bored', 0.23351235419116045)",Fox News interviewer to Whats your take on these talk point feed you
"('positive', 0.752)",positive,Sad,"('Sad', 0.2260975710913679)",But the murder of black be just fine just not unborn black baby
"('positive', 0.532)",positive,Sad,"('Sad', 0.5846719260643121)",Missing already H
"('neutral', 0.585)",neutral,Excited,"('Excited', 0.33942990840360343)",be really stand out at the
"('negative', 0.784)",negative,Angry,"('Angry', 0.412674334155952)",Hey You know who didnt whine about unfair question Grow a set why dont ya
"('negative', 0.899)",negative,Angry,"('Angry', 0.28554421232205435)",You cant be AND have watch that hour abortion last night
"('negative', 0.885)",negative,Angry,"('Angry', 0.2855224949878888)",You fail the people tonight You try to make history by destroy
"('negative', 0.432)",negative,Angry,"('Angry', 0.2388610148128776)",when you mix politics and religion you get politics
"('positive', 0.569)",positive,Excited,"('Excited', 0.4398509400761529)",Marco nail it on abortion We must protect life
"('positive', 0.437)",positive,Excited,"('Excited', 0.24953721300490786)",be up with attack on bankruptcy then give a softball
"('negative', 0.875)",negative,Bored,"('Bored', 0.335956150426157)",They obviously didnt get the memo about
"('negative', 0.883)",negative,Bored,"('Bored', 0.5471631684651014)",Honestly Trump you be ALL type of petty at last nights
"('negative', 0.679)",negative,Bored,"('Bored', 0.3735887081030062)",All Republican who say theyll take US back to on Day One will never see one day in White House
"('positive', 0.564)",positive,Excited,"('Excited', 0.3235831439140888)",Trump gloat buy them do his bid IS my s Billionaire caricature
"('neutral', 0.757)",neutral,Excited,"('Excited', 0.592180188047733)",Go Go Go
"('positive', 0.902)",positive,Happy,"('Happy', 0.3000143332746144)",Listening to the like
"('positive', 0.987)",positive,Happy,"('Happy', 0.42452459142977933)",Best moment of the last night Rand tell to go get another hug from
"('neutral', 0.701)",neutral,Excited,"('Excited', 0.25706135448778794)",If you miss either all you need to know be theres no $ for struggle and unlimited $ for war
"('neutral', 0.368)",neutral,Happy,"('Happy', 0.37107538460665573)",We be on the verge of the time to be alive in this world but be hold us back
"('positive', 0.463)",positive,Excited,"('Excited', 0.2623797125994203)",Drudge Debate Poll By A Landslide
"('neutral', 0.59)",neutral,Angry,"('Angry', 0.2779788192234455)",fight back against what will you do immigration Q border be porous and that must be fix first
"('neutral', 0.72)",neutral,Excited,"('Excited', 0.24296141384046122)",Summary be the Status quo show
"('neutral', 0.565)",neutral,Fear,"('Fear', 0.26154667698667916)",Tweeter Who Debate Schedule
"('negative', 0.478)",negative,Angry,"('Angry', 0.24975669905767717)",Hey look its men stand on a stage argue why they should get to control body and
"('neutral', 0.422)",neutral,Sad,"('Sad', 0.33689512960954376)",Budget T Deficit To
"('negative', 0.615)",negative,Sad,"('Sad', 0.3206230255957803)",Last night at the all I saw be a bunch of Rich and Old with ZERO to our
"('negative', 0.431)",negative,Bored,"('Bored', 0.2741118991862137)",Debate over We learn nothing new
"('negative', 0.353)",negative,Bored,"('Bored', 0.43533156612657564)",If you think ANY of these people be me
"('positive', 0.599)",positive,Bored,"('Bored', 0.2852333718251077)",Ben speak about science at the and be like
"('neutral', 0.418)",neutral,Fear,"('Fear', 0.2942019499246814)",the real illegal alien on Immigration the Bor via
"('neutral', 0.812)",neutral,Bored,"('Bored', 0.2693585627226409)",The talk head put on the debate now the talk head be tell us how the debate go Maybe we waste our time watch
"('neutral', 0.548)",neutral,Excited,"('Excited', 0.4468602679601892)",Plaza Casino Plush in
"('neutral', 0.428)",neutral,Sad,"('Sad', 0.26159572506532025)",be right about but really need to study verse
"('positive', 0.665)",positive,Sad,"('Sad', 0.3921624813676601)",It wasnt all The most memorable right now on
"('neutral', 0.874)",neutral,Fear,"('Fear', 0.2531829912778898)",in one picture
"('negative', 0.725)",negative,Bored,"('Bored', 0.33766600031658145)",Where do you think should sleep when they have The Curse The shed Or in an open field not on your property
"('positive', 0.672)",positive,Happy,"('Happy', 0.3115214098326702)",I think a pretty fair guy Ben neurosurgeon on his belief modern day taxation should be base on an ancient book
"('positive', 0.644)",positive,Excited,"('Excited', 0.2734277263076469)",The cheer from audience defiantly name as the woman he call Fat Pig be the voice
"('neutral', 0.574)",neutral,Bored,"('Bored', 0.45546006049148663)",dont matter apparently to Republican for president or to
"('positive', 0.928)",positive,Excited,"('Excited', 0.31618316985362066)",Overall the main thing we learn from the be that only straight white men matter
"('positive', 0.758)",positive,Excited,"('Excited', 0.47012539777804957)",I think have the best post interview of the night give them all a chance straighten their position
"('neutral', 0.892)",neutral,Excited,"('Excited', 0.3773084512299453)",Hey if still look to chip in check out
"('negative', 0.48)",negative,Angry,"('Angry', 0.31021710608467595)",be criticize UR during U do a REALLY bad job as
"('neutral', 0.8)",neutral,Excited,"('Excited', 0.41080029515328276)",As the line go up they almost reach It almost never happen in the dial research we do rig
"('positive', 0.883)",positive,Sad,"('Sad', 0.3680480128875634)",I wish we could teach teenage to love themselves as much as Trump love himself
"('neutral', 0.409)",neutral,Happy,"('Happy', 0.33349427547896143)",be a people without a Network
"('negative', 0.809)",negative,Sad,"('Sad', 0.420528621994328)",How come theres no talk about climate change anyone here even see right now
"('positive', 0.899)",positive,Excited,"('Excited', 0.2892300668732975)",Performance
"('negative', 0.633)",negative,Angry,"('Angry', 0.21792797941437106)",Last night they could have have raise their hand a spoil billionaire an oligarch a racist a
"('positive', 0.996)",positive,Angry,"('Angry', 0.3531440763013593)",WOW Brilliant Cool Calm Collected
"('negative', 0.793)",negative,Angry,"('Angry', 0.3966899074864496)",Ted doesnt appreciate your emphatically sarcastic air quote kelly
"('neutral', 0.403)",neutral,Angry,"('Angry', 0.25206258516284763)",Under no should men dictate abortion right to Its the st Century we be better than that
"('positive', 0.864)",positive,Excited,"('Excited', 0.40475403043564384)",Winner Drudge K TIME K
"('neutral', 0.857)",neutral,Excited,"('Excited', 0.35686519794560717)",In you chide for go from objective moderator to active participant
"('neutral', 0.718)",neutral,Bored,"('Bored', 0.3007731642987439)",in you call a two time slut Do you stand by that statement
"('negative', 0.797)",negative,Angry,"('Angry', 0.3961900665423941)",never watch again question to Making it about rat not
"('neutral', 0.372)",neutral,Bored,"('Bored', 0.24872615619713093)",All be completely forgettable
"('negative', 0.716)",negative,Bored,"('Bored', 0.303748138965103)",SMALLER government payroll be smaller than its be in
"('negative', 0.577)",negative,Bored,"('Bored', 0.6014900980993249)",Twitter to Drag
"('positive', 0.532)",positive,Excited,"('Excited', 0.44008554259509947)",the and beat them be the way to go
"('positive', 0.955)",positive,Happy,"('Happy', 0.43140073023866926)",Thank you all for watch the tonight and I have a blast write it
"('negative', 0.505)",negative,Excited,"('Excited', 0.32791308617031745)",The REAL war on
"('positive', 0.91)",positive,Excited,"('Excited', 0.31393046279144743)",s On Fire Debate Performance
"('positive', 0.872)",positive,Angry,"('Angry', 0.3084221161322243)",be like
"('neutral', 0.496)",neutral,Bored,"('Bored', 0.24070350406376317)",on Border Immigration
"('negative', 0.911)",negative,Angry,"('Angry', 0.34028342532655576)",This Trump Fox News conflict be quite the conundrum Its like the personification of Greed Hate Who do I root
"('positive', 0.913)",positive,Excited,"('Excited', 0.3774659960686219)",I know how extraordinary this nation be
"('negative', 0.383)",negative,Bored,"('Bored', 0.24822465156896314)",Meanwhile in the White House
"('negative', 0.623)",negative,Bored,"('Bored', 0.35405264969034617)",still my preference but i can see point of his over opportunism inconsistency
"('negative', 0.635)",negative,Angry,"('Angry', 0.2885444563414177)",Did ever tell to go wait in the car Her bad attitude suggest it
"('positive', 0.614)",positive,Bored,"('Bored', 0.2590208967586035)",He be on fire s On Fire Debate Performance
"('positive', 0.838)",positive,Bored,"('Bored', 0.37928427700014855)",Dad Settling in for the
"('negative', 0.493)",negative,Angry,"('Angry', 0.3726551389303053)",get a lot of tonight She be totally overrate and angry She
"('negative', 0.672)",negative,Sad,"('Sad', 0.28544716546423154)",This literally be more true for me I Watched the All I Got Was a Lousy
"('negative', 0.487)",negative,Happy,"('Happy', 0.2571852359961949)",be half as long as the but twice as intelligible
"('negative', 0.82)",negative,Sad,"('Sad', 0.28787261339825015)",Not a single question in last nights about the most urgent issue of our time climate change
"('negative', 0.581)",negative,Bored,"('Bored', 0.26103110013816644)",What be up with their question They seem design to elicit typical political spin
"('positive', 0.437)",positive,Fear,"('Fear', 0.24581529277397818)",After the all of the promise be make by at this tech conference seem quite reasonable
"('positive', 0.996)",positive,Excited,"('Excited', 0.46373702462555183)",AMEN
"('neutral', 0.722)",neutral,Excited,"('Excited', 0.24049377477924044)",The highest call of leadership be to challenge the status quo unlock potential in
"('neutral', 0.459)",neutral,Fear,"('Fear', 0.4099815131557868)",Me watch the Trump pass
"('negative', 0.781)",negative,Sad,"('Sad', 0.22825099247289418)",Before the begin didnt the say that million be discuss racial issue What happen to
"('positive', 0.723)",positive,Happy,"('Happy', 0.3260127234382463)",Theres nothing like listen to ten who will never need an abortion talk about whether I should have a right
"('negative', 0.584)",negative,Bored,"('Bored', 0.23249804941675253)",FOX silence by too Not a single question at last nights to about
"('negative', 0.644)",negative,Bored,"('Bored', 0.4178861529180667)",These be rich they dont care about the poverty of they definitely dont care bout the poverty of
"('negative', 0.373)",negative,Fear,"('Fear', 0.34295593958888176)",So we just have an office chat about the I be out as both a flame liberal and a politics geek Probably not surprise
"('negative', 0.531)",negative,Bored,"('Bored', 0.38679246527101185)",Catching up on my what a childish cheap move to call out on a year old story
"('positive', 0.859)",positive,Excited,"('Excited', 0.32216429105411415)",The only thing that make last nights more amuse would have be
"('negative', 0.718)",negative,Angry,"('Angry', 0.2339464996062565)",All Ted do be attack other
"('negative', 0.883)",negative,Angry,"('Angry', 0.6617701930414693)",Not just no but hell no to the
"('neutral', 0.409)",neutral,Bored,"('Bored', 0.3945622749371152)",Hard to say who win the or
"('neutral', 0.794)",neutral,Bored,"('Bored', 0.37179256261707927)",If Trump win the election then well know be on the
"('neutral', 0.9)",neutral,Angry,"('Angry', 0.34237585245257607)",Can you chip in to keep the momentum go
"('neutral', 0.569)",neutral,Angry,"('Angry', 0.3196559248570315)",just say you have to work two more before that get of less you pay
"('neutral', 0.896)",neutral,Excited,"('Excited', 0.6020043176905819)",be ready to lead Join the team
"('negative', 0.531)",negative,Sad,"('Sad', 0.2432452383506998)",The biggest in the debate be the Fox who attack instead of moderate
"('negative', 0.649)",negative,Bored,"('Bored', 0.38050946385097684)",Trump have yet to give a single answer to a direct question about policy That should frighten you
"('neutral', 0.665)",neutral,Excited,"('Excited', 0.3405221183707138)",On my way to the studio about to appear on to discuss last nights Tune in
"('negative', 0.735)",negative,Angry,"('Angry', 0.25391337911963285)",I honestly think sometimes these guy forget they come from too
"('negative', 0.642)",negative,Angry,"('Angry', 0.4482163446125401)",who shame other for have deserve to be sham for have no soul or self respect
"('neutral', 0.433)",neutral,Fear,"('Fear', 0.3864972343886338)",Me watch the Me look directly into the camera like on The Office
"('negative', 0.574)",negative,Bored,"('Bored', 0.31638304924591537)",close statement be every dinner conversation have at The ever
"('negative', 0.541)",negative,Angry,"('Angry', 0.30356329372456675)",When the rich wage war its the poor who die This be now foreign policy
"('positive', 0.417)",positive,Sad,"('Sad', 0.45644371592298855)",At the we saw the completely miss the mark on race
"('positive', 0.681)",positive,Excited,"('Excited', 0.2320241150328487)",SO to the for be of defeat union even though they just want higher wag
"('negative', 0.561)",negative,Angry,"('Angry', 0.5377251077375138)",better not leave his prayer rug behind in the Oval Office when I get elect because Ill throw it out
"('positive', 0.562)",positive,Happy,"('Happy', 0.3290477898548272)",You get that right
"('positive', 0.361)",positive,Bored,"('Bored', 0.2640570686313055)",Trump just say the US be stupid so let vote him President people
"('positive', 0.937)",positive,Excited,"('Excited', 0.3247333506828315)",So excite for be wait for
"('neutral', 0.677)",neutral,Excited,"('Excited', 0.2660906353879379)",Rep be major Democrat to announce opposition to deal during follow opposition
"('neutral', 0.707)",neutral,Fear,"('Fear', 0.4349335759157805)",Hey look its my feel about Trump sum up in one gif
"('neutral', 0.917)",neutral,Fear,"('Fear', 0.4705525489181673)",Are any of these for the legalization of marijuana or what
"('neutral', 0.563)",neutral,Fear,"('Fear', 0.2896086295540002)",What I learn from the Some guy dad be a mailman be run mate The have run
"('negative', 0.353)",negative,Fear,"('Fear', 0.21134442513771137)",Marco Briefly Backed Immigration Reform Then Privately
"('positive', 0.906)",positive,Happy,"('Happy', 0.40105328120130335)",I Every candidate
"('neutral', 0.782)",neutral,Bored,"('Bored', 0.22284365531056632)",just be honest u be talk about coz steal ur
"('positive', 0.737)",positive,Excited,"('Excited', 0.5796091653961277)",When and the new York time praise fox then you know the up
"('negative', 0.568)",negative,Bored,"('Bored', 0.28096009026295676)",Trump be a lunatic
"('positive', 0.633)",positive,Excited,"('Excited', 0.37359386644349407)",have class truth that get my vote
"('neutral', 0.435)",neutral,Excited,"('Excited', 0.25187700899841126)",the only reason anyone be even talk about illegal immigration Keep dig
"('positive', 0.994)",positive,Excited,"('Excited', 0.4238773677030457)",Finally Somebody who make some sense
"('negative', 0.714)",negative,Angry,"('Angry', 0.4025335022445455)",Pope would not vote for any of these guy
"('neutral', 0.59)",neutral,Excited,"('Excited', 0.3185309345663912)",All want to reduce tax while want to legalize prostitution and drug so we can tax it
"('neutral', 0.8)",neutral,Angry,"('Angry', 0.3012403809345617)",Hi Fox panel can you just ask every single question Hand him a shovel while at it so he can keep dig
"('positive', 0.718)",positive,Bored,"('Bored', 0.2371334536268948)",And then be all
"('positive', 0.871)",positive,Happy,"('Happy', 0.33215301932831326)",be Breaking So what not a polish Politician me love him even more
"('positive', 0.516)",positive,Happy,"('Happy', 0.3532316045150496)",Oh It be just a movie trailer
