ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('negative', 0.609)",negative,Sad,"('Sad', 0.5617903234649877)", ia so much! haven't really been happy with any of cooks choices for singles.
"('negative', 0.59)",negative,Fear,"('Fear', 0.2944021922021721)",  fell asleep on the beach and didn't put on enough sunscreen lol
"('negative', 0.517)",negative,Fear,"('Fear', 0.5193824429699067)",So think my son might have the flu cause def. just cleaned up stanky puke mess Poor pumkpin
"('positive', 0.92)",positive,Fear,"('Fear', 0.43742080481286466)","So great to see Oin ; Cynthia. So happy. Dinner was great, cute little place. Too bad Oin got sick afterwards."
"('negative', 0.837)",negative,Angry,"('Angry', 0.3349831531607263)",cant give  any bday nudges.
"('negative', 0.486)",negative,Sad,"('Sad', 0.26759462469050765)",...and all woman who transfer their first impressions (sexual/maternal) onto less 'threatening' man -- are themselves as weak as 'Him'
"('positive', 0.492)",positive,Sad,"('Sad', 0.37587572372183425)",Brothers Bloom won't be opening this weekend in El Paso. I'll just buy Brick and enjoy that until can watch Brothers Bloom.
"('negative', 0.365)",negative,Sad,"('Sad', 0.22132413278713764)",says miss plurking. 
"('negative', 0.849)",negative,Angry,"('Angry', 0.33630690931382384)","Bitten to blood by my cat, on my way for rabies bacterin. Seems shots for months. Never wash my cats at home again, they hate water"
"('positive', 0.846)",positive,Sad,"('Sad', 0.37692679986009425)",miss Voobys!
"('negative', 0.552)",negative,Angry,"('Angry', 0.43065015293425807)",_Monk Neither are ELP!!
"('positive', 0.703)",positive,Fear,"('Fear', 0.39403755593898987)"," dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
"('negative', 0.661)",negative,Sad,"('Sad', 0.6739786423286445)",is sad that shin ae got married...and it wasn't to alex
"('negative', 0.931)",negative,Sad,"('Sad', 0.818881847640656)"," Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving ;confirmed; today. Muy triste."
"('negative', 0.701)",negative,Sad,"('Sad', 0.34481373807365245)", ohh thursday have exams.. all day what about wednesday
"('negative', 0.923)",negative,Angry,"('Angry', 0.3962703706336408)",there was mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow am.
"('positive', 0.675)",positive,Sad,"('Sad', 0.7007799680929645)","  was just thinking about how excited am for you guys to move, but then realized how sad am to see you go."
"('positive', 0.491)",positive,Happy,"('Happy', 0.25110543705599625)","goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
"('positive', 0.776)",positive,Sad,"('Sad', 0.4473458479211838)", love those 'it'sakey' USB sticks. We only have the GB in Australia
"('positive', 0.795)",positive,Bored,"('Bored', 0.6298535559419323)",fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw
"('negative', 0.989)",negative,Angry,"('Angry', 0.6547830798727143)",dammit! hulu desktop has totally screwed up my ability to talk to particular port on one of our dev servers. so can't watch and code
"('positive', 0.534)",positive,Sad,"('Sad', 0.7748104771294146)", am jealous of your mom talking to . want to see you all our twittering is making me miss you
"('negative', 0.597)",negative,Sad,"('Sad', 0.5867667803326428)",can't sleep...I keep thinking about the puppy played with today
"('negative', 0.847)",negative,Angry,"('Angry', 0.3433980709319652)",.. I'm suppposed to be sleep. But got some much to do. ; got that one part of the song stuck in my head ;your jerk (iknow); blaahh
"('positive', 0.386)",positive,Fear,"('Fear', 0.3748973223606433)", what's going on sweetheart?
"('negative', 0.971)",negative,Angry,"('Angry', 0.8248554243404955)","How can it be so freaking difficult to get system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
"('negative', 0.598)",negative,Angry,"('Angry', 0.3361570598320459)","Last one month due to summer, strawberry is not availble in the Chennai markets!"
"('negative', 0.671)",negative,Bored,"('Bored', 0.8557635056516156)", work at am. Gotta go to bed soon
"('positive', 0.889)",positive,Happy,"('Happy', 0.3075600619599815)", correct! ADORE him. just plucked him up and put him under my arm cuz he was cryin. All better now! Hahaha
"('negative', 0.933)",negative,Sad,"('Sad', 0.35282488127168626)", hiii im on my ipod...i cant fall asleep
"('negative', 0.431)",negative,Sad,"('Sad', 0.23260462343264776)",dont wanna work - tomorrow but get paid
"('negative', 0.918)",negative,Sad,"('Sad', 0.7650741171348013)",feels sad coz wasnt able to play with the guys!!! 
"('positive', 0.55)",positive,Happy,"('Happy', 0.22892032467825602)",PrinceCharming
"('negative', 0.946)",negative,Sad,"('Sad', 0.5436622505195117)",cayogial wanted to come to BZ this summer :/ not so sure anymore... teacher's life in the summer SUCKS
"('negative', 0.751)",negative,Sad,"('Sad', 0.3065501606019847)",First ever dropped call on my mobile. On call to  no less! being charged for data even though have data pack
"('negative', 0.588)",negative,Sad,"('Sad', 0.5925622457536326)", You win ... SIGH Rakeem
"('negative', 0.466)",negative,Fear,"('Fear', 0.29891290439766494)",Oh is that time for real?
"('negative', 0.994)",negative,Angry,"('Angry', 0.42965703508413267)",Darn these allergies! don't like this time of year because of this! never used to have this problem either
"('positive', 0.719)",positive,Happy,"('Happy', 0.25583090944502596)",Oh no one minute too late! Oh well
"('negative', 0.565)",negative,Sad,"('Sad', 0.3982767279001204)","_star Damn, that sucks"
"('negative', 0.942)",negative,Sad,"('Sad', 0.5848190786229333)", wanted to come to BZ this summer :/ not so sure anymore... teacher's life in the summer SUCKS
"('negative', 0.982)",negative,Angry,"('Angry', 0.45482223542541345)", THIS WEBSITE GAVE ME VIRUS! When opened it more windows kept POPPING up
"('negative', 0.799)",negative,Sad,"('Sad', 0.45286855173006824)",ahh! big scary bug flying around my room!!!!!
"('positive', 0.477)",positive,Sad,"('Sad', 0.36694893603128276)","wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what have!"
"('negative', 0.784)",negative,Fear,"('Fear', 0.6018254654381325)",is up with nasty cough cant be sick have huge weekend ahead of me
"('negative', 0.656)",negative,Fear,"('Fear', 0.3625417241208917)", That was stone cold Crazy....
"('negative', 0.927)",negative,Bored,"('Bored', 0.8300346611083063)",i'm so tired
"('positive', 0.396)",positive,Sad,"('Sad', 0.33753360315422337)",shift time bbye biochem waaaaahhhhhh!! 
"('neutral', 0.604)",neutral,Excited,"('Excited', 0.26431660133081125)", I'm sure some will cum out and play. I'm workin through til midnight.
"('negative', 0.527)",negative,Sad,"('Sad', 0.46985442826217855)", second that. wish it rained more where am
"('positive', 0.942)",positive,Bored,"('Bored', 0.66753671443782)", early happy day of birth in case don't make it! Very tired from therapy today just taking my medicine! misshu! Love ya!
"('negative', 0.389)",negative,Sad,"('Sad', 0.2902466406630946)",damn it were is Eric or anyone else when you need your hair to be played with
"('negative', 0.939)",negative,Sad,"('Sad', 0.5763527853508837)",I'm feel deflated. Ugh. No more dog.
"('negative', 0.824)",negative,Angry,"('Angry', 0.33287827290398914)",Allergies suck ducks nuts. ;==========;
"('positive', 0.79)",positive,Sad,"('Sad', 0.29891911790160963)",Well it almost was good day... Guess just retry tomorrow
"('negative', 0.608)",negative,Sad,"('Sad', 0.2963689046465219)", Waraku is tasteless and expensive! Portion is so little!!!!! re: waraku
"('negative', 0.508)",negative,Angry,"('Angry', 0.31410848247232426)", sounds good. Appreciate the suggestion. Been week now and we're still offline Time to ask for refund...
"('neutral', 0.517)",neutral,Sad,"('Sad', 0.42676581165126465)"," He died. Wait, what about Magic Jack? just read it."
"('positive', 0.622)",positive,Angry,"('Angry', 0.25794586223910954)", youstinkatrespondingtotexts!
"('negative', 0.758)",negative,Fear,"('Fear', 0.2523344505892358)",wonders why her Karma points turned into .. 
"('negative', 0.429)",negative,Fear,"('Fear', 0.23919084485499753)","Need to pack for CALI CALI! Cannot waittt! Thinking glass of wine is in order to celebrate my weekend vaca. Still work morrow, tho."
"('negative', 0.95)",negative,Sad,"('Sad', 0.6195314089301461)",Is miserable feel like im gona cry sux!
"('negative', 0.889)",negative,Bored,"('Bored', 0.44214231122642783)", well ran out of beer so left. Not sure about the ETA. Waiting waiting waiting. Bleh Gonna be long nite methinks.
"('negative', 0.835)",negative,Sad,"('Sad', 0.4063796460095641)",$#@! My nose stud fell out and can't find it Looks like I'll have to head into Amsterdam today and get new one
"('positive', 0.52)",positive,Sad,"('Sad', 0.42063081357251364)","claire  love the show, got into the office am and no radio"
"('positive', 0.949)",positive,Happy,"('Happy', 0.45685437399606016)",Pats in philly at am. love it. Mmm cheesesteak. Miss my boyfriend but love vacation.
"('negative', 0.748)",negative,Sad,"('Sad', 0.5576791847865177)",*sigh* I'm going to bed... just don't feel right anymore...
"('negative', 0.68)",negative,Sad,"('Sad', 0.6696173670190493)",What? focused on Tom so much didn't see my beloved Barack! Oh no! must vote for both! Poor president only has  votes.
"('negative', 0.476)",negative,Angry,"('Angry', 0.21196984142071262)", EpiCentre Wheelock Place tourists only..
"('negative', 0.567)",negative,Sad,"('Sad', 0.5679689714088536)",Now am depressed after watching so you think you can dance
"('negative', 0.767)",negative,Angry,"('Angry', 0.3940081840977821)","Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
"('positive', 0.696)",positive,Sad,"('Sad', 0.3937716437276172)",miss 'th
"('negative', 0.777)",negative,Sad,"('Sad', 0.24965634946735668)"," know. But like said, have no idea how long it takes for them to investigate this stuff."
"('negative', 0.906)",negative,Sad,"('Sad', 0.452945388871002)","cant sleep, but im too sore to move"
"('positive', 0.981)",positive,Sad,"('Sad', 0.628144290538334)",  Awe! miss my baby
"('neutral', 0.446)",neutral,Fear,"('Fear', 0.25201020390878115)", just answered you- never learned how to write in French- just basic stuff-
"('neutral', 0.596)",neutral,Fear,"('Fear', 0.319402371846132)",what is it with chocolates? just can never say no
"('positive', 0.573)",positive,Sad,"('Sad', 0.31512701899906775)",Achieving new appreciation on how xml build script can really be painful and cumbersome
"('positive', 0.641)",positive,Bored,"('Bored', 0.7791101603213094)",_radio i'm too awake now ill have nap this afternoon
"('negative', 0.996)",negative,Bored,"('Bored', 0.29923329284585487)", cant do anything
"('negative', 0.925)",negative,Bored,"('Bored', 0.829419442703565)",still needs another hours of sleep
"('negative', 0.893)",negative,Sad,"('Sad', 0.4075831567201115)",I'm at work
"('positive', 0.894)",positive,Sad,"('Sad', 0.6600109559730348)",RIP leonardo. You were great mini fiddler crab
"('positive', 0.567)",positive,Bored,"('Bored', 0.6449281879037652)","Morning tweeple,way to early again"
"('negative', 0.761)",negative,Sad,"('Sad', 0.7451119540178177)","Last day working for the Uni today, sad times"
"('positive', 0.833)",positive,Sad,"('Sad', 0.5084688077199109)"," thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
"('negative', 0.959)",negative,Sad,"('Sad', 0.3897542888515397)",My head hurts so bad could scream!
"('negative', 0.983)",negative,Sad,"('Sad', 0.4573355813068786)",just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
"('negative', 0.938)",negative,Angry,"('Angry', 0.41583677063127406)",New work wellness challenge not going well. committed to not check email between  pm and am. Failed on first day. Twice
"('negative', 0.62)",negative,Sad,"('Sad', 0.31955159546163947)",New blog post: [Blog] auto insuran...: just found that my auto insurance policy had been expired. am too careless ...) .. Meanw ...
"('negative', 0.753)",negative,Sad,"('Sad', 0.3390491539824588)",where are all ma bestfriends at MIA or wat
"('negative', 0.598)",negative,Fear,"('Fear', 0.2982885714536059)",oh men!!!!!!......I really can't see my face........c'mon guys!!!
"('negative', 0.764)",negative,Sad,"('Sad', 0.279964772616397)","I'm showing my age. Renewed my tags last week, went down . Got my insurance renewal email today, went down . don't wanna be old"
"('negative', 0.842)",negative,Angry,"('Angry', 0.4644976502489939)",my sole supporter is not my sole supporter
"('negative', 0.952)",negative,Angry,"('Angry', 0.3602372128821418)",don't you hate it when you finish all your work and there's still . hours left of work time
"('negative', 0.922)",negative,Angry,"('Angry', 0.4956735725352838)", urgh stop it guys
"('positive', 0.56)",positive,Sad,"('Sad', 0.7731651312041492)",is still missing her husband. really want him home.
"('positive', 0.919)",positive,Sad,"('Sad', 0.8305776736571654)",miss my puppy
"('negative', 0.768)",negative,Sad,"('Sad', 0.5485390402131751)","days of this month left, and only have MB left on my onpeak downloads."
"('positive', 0.839)",positive,Sad,"('Sad', 0.32323277508718823)", Up is out? didn't get the memo It looks amazing.
"('negative', 0.526)",negative,Sad,"('Sad', 0.41522083955382355)", I've given up on pizza kids would never let me have my fav (the hot ones)
"('negative', 0.802)",negative,Sad,"('Sad', 0.6369970318154303)",Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
"('negative', 0.481)",negative,Sad,"('Sad', 0.8767874164453263)", yearling in pet home died... very sad for their whole family
"('negative', 0.537)",negative,Angry,"('Angry', 0.3564919525853541)",fun in the sun hmmm hell no it's cold
"('negative', 0.71)",negative,Sad,"('Sad', 0.3581905153646057)",got giant splinter stuck up underneath my finger nail today at Muppets...it hurt. But got to go to First Aid for the first time!
"('positive', 0.514)",positive,Angry,"('Angry', 0.3098846193579833)"," We hate change, so of course. We're fans for life. ; Oh and if we haven't met Rob by then something went horribly wrong."
"('negative', 0.784)",negative,Sad,"('Sad', 0.6854456264205983)",is feeling sad... for some reason.. 
"('negative', 0.858)",negative,Sad,"('Sad', 0.38144563593596365)",well fuck- this new pain med has an odd warning that actually applies to me. can't take this. -chan is displeased.
"('negative', 0.668)",negative,Sad,"('Sad', 0.8049456823854787)",just uploaded my new blog... painful story about an s year old man who cried because he wanted to die... very sad
"('neutral', 0.772)",neutral,Angry,"('Angry', 0.22571908132000684)", don't think so. WANT DETAILS.
"('neutral', 0.902)",neutral,Fear,"('Fear', 0.3299903388970447)", Hi...!!! Who is Mary Poppins???
"('positive', 0.67)",positive,Happy,"('Happy', 0.3345977126225719)"," Its so addicting, but its kind of curse to do them at night time. Everytime do one, feel like making music afterwards"
"('negative', 0.822)",negative,Fear,"('Fear', 0.28751486163502554)",my last tweet didn't send bad phone
"('negative', 0.848)",negative,Angry,"('Angry', 0.5738827782667326)", OMG Ur alive!!! LOL day has gone sooo slow I'm going insane Grrr You doing anything tonight?
"('negative', 0.62)",negative,Bored,"('Bored', 0.8276157833132903)",Have headache I'm going to bed. Goodnight!
"('positive', 0.555)",positive,Fear,"('Fear', 0.34215342667323245)", was watching Parental Control
"('negative', 0.444)",negative,Sad,"('Sad', 0.2832748165758107)"," did you get them from california vintage? ahahah they have the BEST dresses, want them but dont have ebay"
"('positive', 0.572)",positive,Sad,"('Sad', 0.8146261453999514)",just saw pics from this past Thanksgiving and am sad because Grandma was in them.
"('negative', 0.995)",negative,Sad,"('Sad', 0.42355388230149926)", it wont let me
"('negative', 0.847)",negative,Bored,"('Bored', 0.40040068860818545)",Took shift tomorrow. don't really feel like working right now.
"('negative', 0.987)",negative,Sad,"('Sad', 0.48727731577092537)",but now have no money for phone
"('positive', 0.372)",positive,Sad,"('Sad', 0.24882282772176947)",Spent last night in A;E (ER). Wife tangled wheels with Daughter ; hit the deck. Dislocation ; fracture resulted.
"('neutral', 0.552)",neutral,Fear,"('Fear', 0.2657112316650052)", days I'm about ready to visit Torchwood and see if they've heard anything
"('negative', 0.691)",negative,Sad,"('Sad', 0.3092962791741871)",_morley where are you? In Bris? can't hear any thunder
"('neutral', 0.476)",neutral,Excited,"('Excited', 0.35766414137457336)","bec vs fat food --- winner fat food but not this weeknend, ill beat it!"
"('negative', 0.964)",negative,Sad,"('Sad', 0.5903661784385852)",Too bad the Red Devils.. disappointing to say the least
"('negative', 0.96)",negative,Sad,"('Sad', 0.37263487662500483)",had dream about pretty pretty beach and there was no beach when woke up
"('neutral', 0.488)",neutral,Fear,"('Fear', 0.2738766014753961)"," Have ware SE, not fast enough for x X-M SSD RAID. Mhz IOP on the HPT. Might try an Adaptec  (.Ghz)."
"('negative', 0.482)",negative,Angry,"('Angry', 0.2638943539193301)",when da heck will the garage man get here ask you.. WHEN..
"('neutral', 0.535)",neutral,Sad,"('Sad', 0.8013110523316075)","Ate Mandy, please forgive me. really am sorry. don't wanna lose my Bff"
"('positive', 0.915)",positive,Fear,"('Fear', 0.6152185843182179)", Umm yeah. That's probably pretty good note to self because eeeeeewwwwwwww.
"('negative', 0.971)",negative,Sad,"('Sad', 0.5936846496784011)",why are plane tickets so expensive
"('positive', 0.935)",positive,Fear,"('Fear', 0.5905820333299467)",()  Umm yeah. That's probably pretty good note to self because eeeeeewwwwwwww.
"('negative', 0.526)",negative,Angry,"('Angry', 0.32840085356946735)",Needs job BADLY!!!
"('neutral', 0.47)",neutral,Sad,"('Sad', 0.45141911278445207)", daaammmnnnnn do wish was there.
"('positive', 0.644)",positive,Sad,"('Sad', 0.24725631565363917)",Went to Di Bella coffee roasters today and asked for job... The person needed to speak to is on holiday... #fb
"('negative', 0.623)",negative,Sad,"('Sad', 0.4260833524683459)",_hime played up until the latter parts of the voodoo village part co-op until lost my usual partner
"('negative', 0.763)",negative,Bored,"('Bored', 0.6457742898588331)", Nite. Now I'm up bored as opposed to almost sleep frm
"('negative', 0.73)",negative,Angry,"('Angry', 0.287351161355616)",is bad friend
"('positive', 0.914)",positive,Happy,"('Happy', 0.36697611694704496)", happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
"('negative', 0.403)",negative,Happy,"('Happy', 0.4185406143300281)", im doing that shit right now ... im on vacation and you got me workin
"('neutral', 0.412)",neutral,Happy,"('Happy', 0.4744342332068015)", ill be over in an oir
"('negative', 0.722)",negative,Sad,"('Sad', 0.31375344647553144)", guess its no go girlie. I'm still at the gym and work at :am
"('negative', 0.906)",negative,Angry,"('Angry', 0.6253994413245852)",would wish the severe migrains would stop!!! doc's prescriptions arent working
"('negative', 0.793)",negative,Angry,"('Angry', 0.45241398333345617)", missed the game
"('positive', 0.755)",positive,Fear,"('Fear', 0.3483480192686144)"," No internet last night; ER was brill, there was massive explosion at the end of nearby gas works ER on standby"
"('negative', 0.78)",negative,Angry,"('Angry', 0.304804850854898)", cuz airlines are super lame.
"('negative', 0.853)",negative,Sad,"('Sad', 0.5369782095571751)", Still pity it comes with no lamb though
"('positive', 0.618)",positive,Happy,"('Happy', 0.4069162914305535)", I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
"('negative', 0.854)",negative,Angry,"('Angry', 0.3573632407627092)","is done painting all the bedroom furniture, still have to do the table but it will wait until after the move. Uggh moving in the heat"
"('negative', 0.952)",negative,Bored,"('Bored', 0.5150870134347691)",I'm so very tired...and have insomnia.
"('negative', 0.915)",negative,Sad,"('Sad', 0.5400627887388953)", hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
"('negative', 0.814)",negative,Angry,"('Angry', 0.43757849324265885)", airport? and you didnt show up tonight homo!
"('negative', 0.637)",negative,Sad,"('Sad', 0.2842941111430702)","hate Bakersfield and hate the Ports, let me go home already. want to start my vacation."
"('negative', 0.82)",negative,Sad,"('Sad', 0.5098473560643146)", what about me
"('negative', 0.855)",negative,Sad,"('Sad', 0.32757730792131445)","Looking for desktop twitter app that will actually let you access URLs, any suggestions? liked Twittle but no linking"
"('negative', 0.964)",negative,Angry,"('Angry', 0.6556008619270667)",people in my house do not know how to close doors
"('negative', 0.955)",negative,Bored,"('Bored', 0.366301624374013)",Why am completing facebook quizzes at this time of the morning... especially friday morning
"('negative', 0.71)",negative,Sad,"('Sad', 0.5302836244837386)",out with  ;  am soooo hungry
"('negative', 0.941)",negative,Sad,"('Sad', 0.4646665631484168)", don't like the possibility of the left side of my brain hurting because of the thing called VP shunt and possible death
"('negative', 0.734)",negative,Sad,"('Sad', 0.2944757878177031)",Had to cancel wow for now
"('negative', 0.907)",negative,Sad,"('Sad', 0.36832919334579417)",wants to make music profile but don't have money don't know how to write music don't know how to play an instrument and no studio
"('positive', 0.924)",positive,Sad,"('Sad', 0.5443930509573638)", But yeah...I'm sad about my ;Ravenclaw; account. love that account to bits.
"('negative', 0.895)",negative,Sad,"('Sad', 0.4370869007951389)","It's : AM, and hear helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
